,Fp1,F3,C3,P3,F7,T3,T5,O1,Fz,Cz,Pz,Fp2,F4,C4,P4,F8,T4,T6,O2,EKG
58,-544.42,-544.13,-457.83,-521.38,-503.68,-467.04,-497.86,-529.5,-556.65,-501.63,-524.72,-500.67,-541.35,-474.51,-489.41,-586.74,-523.32,-536.18,-410.55,278.09
59,-539.09,-538.49,-453.18,-516.51,-497.45,-460.69,-494.2,-526.49,-552.67,-495.83,-518.49,-489.22,-535.45,-469.84,-482.24,-578.97,-522.53,-532.48,-403.08,260.06
60,-550.98,-550.22,-463.16,-524.35,-508.58,-474.46,-505.5,-534.61,-561.43,-507.34,-528.09,-509.95,-553.92,-480.18,-489.91,-587.33,-524.41,-534.73,-405.8,222.53
61,-557.59,-555.44,-468.84,-528.01,-519.14,-479.65,-511.61,-536.53,-565.21,-512.79,-533.29,-516.01,-557.56,-486.29,-495.53,-594.31,-527.3,-542.45,-409.6,128.04
62,-560.03,-558.85,-470.11,-528.25,-522.48,-488.48,-511.68,-536.4,-568.24,-514.72,-532.15,-521.02,-553.16,-488.12,-497.64,-600.81,-529.05,-546.86,-408.71,129.33
63,-566.06,-564.51,-471.71,-529.31,-528.83,-487.89,-516.01,-537.1,-573.31,-515.55,-532.34,-528.93,-561.87,-487.72,-495.86,-599.14,-524.9,-544.65,-407.31,140.37
64,-556.53,-551.83,-461.39,-516.57,-515.51,-475.75,-503.49,-524.64,-564.65,-503.45,-520.88,-509.62,-553.78,-476.16,-482.9,-584.0,-522.66,-536.26,-399.38,80.0
65,-562.11,-557.06,-464.46,-518.46,-517.08,-476.58,-503.48,-525.58,-568.27,-507.55,-522.48,-523.71,-554.17,-481.95,-486.92,-591.63,-524.93,-540.09,-401.55,54.09
66,-557.1,-551.45,-459.1,-512.11,-511.28,-466.66,-493.82,-518.03,-567.71,-502.9,-516.82,-529.23,-550.01,-479.52,-481.6,-584.28,-519.99,-533.96,-396.77,51.14
67,-558.93,-551.84,-459.63,-512.24,-510.78,-466.53,-495.13,-518.55,-565.38,-501.52,-517.91,-519.27,-553.74,-480.44,-481.26,-588.36,-532.32,-532.69,-394.4,13.98
68,-567.1,-561.03,-471.36,-524.58,-521.55,-482.12,-508.5,-531.84,-574.5,-512.98,-530.54,-514.53,-565.52,-491.17,-491.48,-595.46,-526.15,-541.0,-403.22,25.88
69,-556.75,-555.17,-464.96,-518.07,-516.68,-472.64,-499.42,-523.04,-567.1,-507.42,-525.26,-513.16,-550.09,-486.79,-486.58,-588.2,-519.17,-532.57,-397.86,88.04
70,-561.63,-560.53,-470.71,-522.06,-519.16,-476.26,-504.06,-526.78,-572.34,-512.34,-530.11,-515.77,-560.52,-492.49,-492.36,-592.71,-528.64,-540.27,-400.83,90.21
71,-568.25,-566.44,-479.87,-528.23,-529.93,-488.09,-511.53,-532.38,-576.6,-519.02,-537.29,-518.24,-570.12,-500.53,-498.42,-592.85,-533.99,-545.81,-406.04,46.03
72,-564.86,-563.81,-470.47,-521.08,-526.48,-479.91,-500.95,-524.76,-570.78,-511.33,-530.69,-520.04,-559.84,-493.23,-494.07,-590.15,-534.45,-543.16,-403.04,47.44
73,-555.33,-553.48,-454.76,-504.16,-513.97,-462.24,-483.21,-509.27,-562.05,-496.72,-515.03,-516.84,-544.8,-479.08,-479.11,-581.05,-520.1,-531.97,-389.43,50.77
74,-542.6,-543.47,-446.18,-496.85,-508.04,-455.83,-480.34,-505.14,-548.21,-487.85,-507.53,-513.37,-531.77,-469.53,-469.52,-571.89,-499.55,-519.52,-382.37,-6.51
75,-551.73,-550.99,-457.03,-510.46,-515.83,-469.83,-493.21,-518.99,-557.07,-499.5,-519.96,-510.47,-540.35,-482.3,-481.77,-578.19,-521.03,-526.56,-393.56,-28.69
76,-558.72,-555.12,-461.87,-513.19,-519.39,-469.29,-495.89,-522.56,-566.1,-505.6,-525.95,-513.82,-549.44,-488.53,-487.34,-581.69,-527.49,-536.55,-397.92,35.71
77,-547.47,-544.03,-453.9,-506.04,-509.02,-464.84,-485.41,-513.33,-556.59,-498.85,-518.16,-504.45,-544.24,-481.88,-479.73,-574.61,-507.17,-527.55,-390.41,14.26
78,-537.53,-541.87,-455.72,-508.97,-503.48,-457.09,-485.58,-514.66,-554.8,-500.42,-519.09,-491.51,-552.17,-480.8,-478.9,-569.22,-507.47,-526.26,-390.47,-13.64
79,-551.4,-553.09,-459.97,-513.31,-511.59,-461.79,-489.61,-520.69,-566.93,-506.59,-524.96,-512.01,-557.03,-486.9,-485.05,-580.11,-523.84,-531.52,-395.9,37.43
80,-567.53,-564.36,-468.4,-521.45,-522.64,-469.59,-495.6,-528.81,-576.22,-516.63,-535.82,-530.46,-568.59,-500.73,-497.94,-599.0,-540.06,-546.78,-406.1,45.59
81,-560.17,-560.39,-463.96,-516.24,-517.5,-462.52,-489.78,-524.11,-574.05,-512.52,-531.88,-523.82,-558.48,-496.44,-494.22,-600.35,-528.67,-544.62,-402.52,-13.57
82,-550.28,-546.34,-448.44,-499.86,-500.32,-446.8,-473.19,-509.24,-561.27,-498.97,-517.3,-518.66,-552.03,-481.27,-478.96,-590.49,-516.85,-526.76,-387.53,21.7
83,-559.19,-551.11,-450.35,-500.02,-503.97,-448.37,-473.16,-508.87,-565.65,-500.95,-516.87,-527.06,-563.56,-482.59,-477.18,-595.55,-513.98,-524.84,-385.81,87.3
84,-557.71,-554.67,-454.78,-502.45,-506.54,-449.11,-475.92,-511.55,-572.89,-506.71,-520.28,-510.51,-563.42,-490.7,-482.91,-597.6,-521.44,-528.6,-388.26,68.25
85,-551.78,-554.09,-454.63,-501.75,-507.79,-449.12,-479.09,-513.4,-572.72,-505.05,-519.22,-510.28,-557.84,-487.46,-482.16,-591.43,-525.5,-528.15,-389.44,114.12
86,-569.93,-560.44,-458.05,-505.55,-513.93,-458.59,-482.7,-516.68,-575.9,-507.57,-522.5,-536.35,-568.33,-493.17,-489.32,-604.09,-528.48,-536.15,-394.53,212.59
87,-562.93,-549.98,-450.12,-498.81,-502.81,-445.8,-474.84,-509.28,-565.28,-500.17,-516.4,-532.55,-564.08,-487.53,-483.63,-596.31,-519.71,-530.62,-387.92,161.04
88,-545.75,-538.21,-441.9,-492.24,-492.24,-442.45,-469.25,-503.94,-550.75,-490.03,-509.18,-510.14,-546.59,-478.46,-474.35,-579.28,-516.94,-525.65,-379.86,133.76
89,-553.65,-544.7,-447.66,-498.54,-500.63,-451.59,-476.27,-511.37,-559.73,-496.72,-514.94,-518.31,-554.52,-482.39,-476.74,-585.59,-521.08,-527.43,-382.36,180.48
90,-557.63,-545.31,-450.51,-498.92,-502.86,-451.3,-476.75,-510.57,-562.69,-497.98,-515.76,-525.34,-559.67,-484.78,-477.07,-592.71,-527.16,-528.76,-382.04,179.2
91,-557.36,-553.55,-455.35,-502.31,-507.43,-461.87,-479.48,-513.19,-569.23,-503.87,-519.38,-511.99,-565.13,-491.34,-483.32,-597.94,-537.19,-535.17,-384.53,95.04
92,-547.66,-544.59,-443.2,-491.02,-496.81,-445.89,-468.98,-503.25,-559.7,-491.3,-506.94,-502.53,-556.15,-477.98,-468.87,-582.93,-514.31,-518.97,-373.27,138.65
93,-545.76,-539.96,-439.13,-488.03,-493.26,-439.35,-467.64,-501.88,-557.01,-487.15,-503.17,-516.63,-544.43,-476.85,-466.09,-578.23,-504.24,-514.48,-371.47,175.49
94,-541.04,-536.75,-436.99,-485.21,-490.93,-439.71,-465.63,-498.74,-554.13,-485.12,-500.78,-499.28,-544.95,-472.94,-462.83,-576.96,-500.79,-509.89,-367.72,95.88
95,-529.87,-526.0,-427.07,-476.3,-480.05,-424.45,-453.5,-490.15,-541.71,-474.47,-491.7,-480.5,-538.84,-463.01,-454.26,-559.23,-498.5,-503.14,-360.48,133.17
96,-537.66,-529.19,-430.1,-480.77,-486.63,-435.26,-458.32,-495.48,-546.94,-480.68,-496.58,-502.41,-539.88,-470.13,-458.89,-563.22,-493.11,-504.47,-363.89,270.77
97,-542.55,-532.43,-432.99,-483.76,-489.19,-438.85,-464.07,-500.07,-547.48,-483.89,-502.0,-510.67,-539.19,-471.76,-462.39,-568.41,-492.85,-509.24,-368.93,215.61
98,-542.5,-536.43,-438.3,-489.05,-497.87,-440.08,-466.88,-505.01,-549.56,-491.02,-509.81,-507.21,-545.82,-480.96,-472.96,-575.3,-511.04,-520.44,-378.5,108.35
99,-552.13,-541.68,-442.9,-493.09,-501.76,-445.34,-470.42,-508.43,-558.14,-495.38,-514.09,-515.92,-551.72,-487.92,-477.41,-583.8,-518.75,-525.01,-382.81,117.0
100,-550.05,-542.04,-441.82,-491.89,-500.76,-450.02,-471.82,-508.64,-559.47,-493.22,-512.72,-515.75,-554.27,-484.66,-474.39,-577.29,-521.59,-523.93,-382.41,108.41
101,-538.46,-531.71,-433.83,-484.81,-494.87,-443.15,-467.24,-502.94,-547.35,-485.24,-506.92,-494.76,-538.35,-478.59,-468.84,-563.43,-506.41,-516.3,-378.26,50.49
102,-534.38,-529.59,-430.67,-481.69,-493.14,-437.54,-461.86,-498.29,-543.74,-483.26,-505.56,-495.5,-538.66,-476.29,-469.09,-562.7,-496.75,-514.59,-377.42,82.89
103,-541.08,-528.85,-423.77,-474.58,-490.49,-430.8,-452.21,-491.37,-542.69,-476.72,-498.16,-498.26,-543.01,-470.77,-465.22,-563.1,-499.11,-509.94,-372.04,125.6
104,-531.72,-517.91,-417.28,-467.28,-482.57,-430.96,-449.03,-487.7,-532.18,-469.47,-491.25,-485.81,-533.78,-464.42,-462.05,-558.18,-491.39,-509.05,-369.11,117.37
105,-528.95,-525.63,-423.84,-477.07,-489.28,-432.42,-459.81,-499.84,-537.27,-477.0,-500.41,-490.46,-536.72,-472.51,-469.45,-562.34,-499.06,-513.59,-376.49,122.29
106,-549.62,-542.04,-436.83,-489.2,-503.11,-439.85,-468.77,-508.27,-554.7,-490.87,-512.06,-504.93,-550.04,-487.19,-484.16,-571.03,-525.33,-530.66,-386.99,168.74
107,-542.32,-541.75,-436.72,-488.05,-504.25,-444.21,-468.01,-505.85,-553.27,-490.87,-510.64,-500.85,-537.53,-486.33,-481.8,-567.6,-494.1,-525.63,-383.03,132.46
108,-534.73,-531.51,-430.27,-481.2,-496.36,-441.75,-463.99,-499.26,-541.61,-482.49,-502.79,-492.38,-533.5,-475.09,-468.71,-552.98,-499.83,-514.77,-374.23,55.44
109,-532.85,-525.63,-423.48,-476.1,-489.94,-438.48,-460.1,-494.47,-533.99,-474.65,-495.3,-486.14,-533.67,-470.24,-463.05,-546.5,-499.61,-510.71,-368.3,113.6
110,-522.83,-514.83,-412.17,-462.44,-480.17,-420.24,-445.7,-482.42,-527.49,-462.37,-481.4,-482.19,-523.11,-457.49,-448.61,-539.26,-480.48,-494.51,-354.97,172.73
111,-515.67,-514.4,-411.85,-460.45,-476.88,-422.8,-442.36,-479.94,-524.39,-461.67,-480.06,-466.46,-522.75,-456.44,-445.95,-541.33,-480.64,-491.71,-352.6,181.63
112,-538.98,-531.8,-427.62,-477.49,-497.39,-440.47,-460.56,-492.11,-542.51,-477.65,-495.7,-494.59,-533.11,-473.05,-459.96,-560.35,-495.11,-502.82,-363.56,193.79
113,-552.92,-544.55,-439.54,-488.28,-509.32,-451.99,-474.2,-503.12,-554.19,-489.43,-505.72,-507.36,-547.29,-482.42,-469.15,-569.37,-508.41,-516.64,-372.74,161.97
114,-548.48,-543.61,-439.11,-487.25,-506.7,-450.97,-473.58,-502.43,-552.83,-488.2,-504.44,-500.83,-547.23,-482.95,-466.91,-562.97,-502.85,-516.18,-372.45,79.59
115,-530.48,-528.8,-425.38,-472.8,-494.32,-442.45,-458.47,-487.87,-540.37,-474.68,-489.33,-485.81,-530.61,-468.29,-454.55,-547.2,-490.53,-500.39,-360.28,37.52
116,-536.61,-531.97,-427.18,-475.07,-496.7,-443.17,-464.02,-492.02,-543.01,-476.13,-491.0,-496.38,-525.83,-466.18,-452.9,-552.09,-475.41,-494.27,-358.98,81.22
117,-542.47,-542.16,-435.03,-482.95,-506.19,-450.7,-472.1,-499.67,-549.27,-483.67,-501.21,-494.81,-536.5,-474.63,-460.84,-556.04,-490.78,-503.01,-366.75,105.94
118,-543.2,-541.08,-438.0,-485.98,-510.27,-456.39,-472.53,-501.17,-549.34,-488.36,-504.92,-490.64,-537.88,-481.43,-467.14,-557.44,-502.18,-511.25,-371.96,93.78
119,-540.5,-539.58,-434.56,-479.92,-508.54,-447.94,-465.54,-494.15,-547.08,-484.64,-499.97,-496.96,-545.37,-480.08,-463.51,-555.06,-500.44,-506.35,-365.98,115.94
120,-534.74,-538.39,-431.84,-477.74,-503.6,-437.75,-464.13,-490.91,-546.7,-481.0,-494.37,-485.9,-535.09,-475.04,-456.86,-544.61,-504.15,-499.58,-359.99,94.78
121,-534.64,-532.51,-428.72,-474.6,-496.89,-443.38,-462.64,-488.6,-543.05,-475.85,-489.38,-476.13,-535.77,-467.04,-450.22,-544.54,-481.23,-493.78,-355.6,27.27
122,-535.28,-529.14,-425.12,-470.49,-494.61,-438.57,-457.22,-482.95,-534.46,-470.17,-486.12,-487.5,-534.92,-462.08,-445.73,-542.26,-479.21,-485.07,-351.58,78.27
123,-543.77,-536.02,-429.91,-475.04,-501.29,-442.63,-459.48,-486.21,-542.92,-475.24,-489.54,-499.83,-531.61,-466.08,-449.56,-546.26,-480.67,-490.87,-357.08,142.78
124,-535.36,-532.52,-429.49,-475.21,-498.43,-445.26,-462.99,-489.68,-538.59,-474.77,-490.66,-494.99,-529.68,-466.35,-452.09,-544.97,-484.34,-496.65,-359.82,82.34
125,-533.1,-530.34,-429.19,-476.11,-497.21,-444.65,-464.11,-491.83,-537.12,-474.47,-491.85,-489.6,-529.0,-467.65,-453.18,-544.69,-486.2,-494.4,-360.54,15.84
126,-535.11,-533.24,-430.93,-478.02,-498.29,-444.88,-462.47,-491.54,-542.32,-477.85,-493.9,-488.28,-531.12,-474.02,-458.14,-548.76,-488.91,-500.47,-364.57,35.82
127,-552.29,-551.79,-450.3,-498.64,-517.1,-461.43,-484.04,-511.51,-560.87,-497.57,-514.37,-498.83,-549.76,-495.53,-481.55,-568.87,-520.36,-524.42,-384.64,10.46
128,-556.83,-555.85,-456.34,-503.03,-524.04,-471.99,-490.89,-517.62,-565.63,-504.77,-520.59,-500.12,-558.89,-500.15,-487.63,-572.51,-522.99,-536.11,-391.36,-40.63
129,-540.55,-536.03,-435.56,-481.18,-504.42,-452.8,-469.57,-494.02,-541.9,-482.25,-496.5,-489.08,-536.47,-476.13,-464.53,-542.73,-503.41,-514.05,-367.04,0.95
130,-523.43,-518.21,-418.3,-462.73,-487.31,-430.16,-451.11,-478.27,-525.88,-463.95,-477.99,-469.59,-521.24,-456.98,-443.91,-526.35,-469.47,-488.86,-349.23,9.86
131,-516.82,-512.56,-417.35,-462.16,-484.63,-432.51,-450.62,-477.77,-520.88,-461.28,-476.01,-460.62,-512.81,-453.51,-441.42,-527.65,-468.49,-482.8,-348.35,-32.31
132,-515.66,-515.66,-416.71,-462.45,-483.5,-430.9,-450.54,-477.61,-522.37,-462.31,-476.61,-466.36,-513.71,-456.82,-444.23,-531.33,-473.61,-489.32,-349.46,-31.31
133,-525.41,-526.48,-424.01,-468.5,-489.38,-433.57,-458.36,-484.71,-534.0,-470.09,-483.66,-478.42,-528.37,-464.22,-451.39,-537.63,-483.48,-497.07,-355.91,30.21
134,-529.42,-531.15,-432.93,-477.68,-496.11,-447.88,-468.46,-495.18,-537.06,-479.26,-493.42,-478.09,-536.59,-471.72,-459.92,-546.45,-490.07,-503.63,-366.46,0.38
135,-537.03,-540.46,-443.26,-488.54,-505.71,-459.44,-478.21,-504.76,-547.84,-489.26,-505.09,-485.82,-543.15,-482.33,-472.23,-554.6,-505.36,-517.15,-379.48,-70.99
136,-533.37,-531.24,-432.99,-478.03,-497.25,-447.1,-465.44,-495.01,-542.52,-478.82,-495.69,-485.82,-535.21,-472.79,-462.24,-543.21,-492.84,-507.79,-369.46,-73.91
