i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
-0.2145,-0.2095,0.005,0.212,-0.1095,-0.1025,-0.042,-0.104,-0.0415,0.113,0.1995,0.1945,-0.003,0.056,-0.0015
-0.2145,-0.207,0.0075,0.211,-0.111,-0.1,-0.0395,-0.1025,-0.0385,0.1115,0.1985,0.1945,0.0,0.052,0.001
-0.2275,-0.2245,0.003,0.226,-0.115,-0.111,-0.045,-0.1075,-0.044,0.1055,0.192,0.1905,0.001,0.046,0.001
-0.2245,-0.226,-0.0015,0.2255,-0.1115,-0.114,-0.0445,-0.1085,-0.0465,0.103,0.1865,0.1875,-0.0025,0.0475,0.001
-0.2135,-0.2265,-0.013,0.22,-0.1,-0.12,-0.049,-0.113,-0.0495,0.098,0.1805,0.183,-0.003,0.051,0.003
-0.2005,-0.219,-0.0185,0.21,-0.091,-0.119,-0.044,-0.1065,-0.043,0.105,0.187,0.186,-0.002,0.0445,0.0015
-0.2065,-0.2195,-0.013,0.213,-0.0965,-0.1165,-0.0385,-0.104,-0.0385,0.1095,0.19,0.187,-0.0045,0.044,0.0
-0.228,-0.2385,-0.0105,0.233,-0.1085,-0.125,-0.0455,-0.1115,-0.044,0.104,0.185,0.1805,-0.006,0.0455,0.003
-0.219,-0.238,-0.019,0.2285,-0.0995,-0.129,-0.047,-0.1085,-0.046,0.0985,0.178,0.1785,-0.001,0.045,0.003
-0.2155,-0.2285,-0.013,0.222,-0.101,-0.121,-0.043,-0.106,-0.0415,0.101,0.1805,0.1825,-0.001,0.0475,0.0055
-0.2155,-0.2255,-0.01,0.2205,-0.1025,-0.118,-0.0415,-0.105,-0.0405,0.102,0.1815,0.1835,-0.0025,0.0445,0.0045
-0.2215,-0.228,-0.0065,0.225,-0.1075,-0.1175,-0.0365,-0.102,-0.039,0.1045,0.181,0.182,-0.004,0.036,0.0025
-0.2315,-0.233,-0.0015,0.232,-0.115,-0.1175,-0.0385,-0.1035,-0.037,0.1045,0.184,0.179,-0.007,0.029,0.004
-0.228,-0.2285,-0.0005,0.228,-0.1135,-0.1145,-0.04,-0.1035,-0.038,0.104,0.185,0.177,-0.0065,0.037,0.0045
-0.219,-0.22,-0.0005,0.2195,-0.109,-0.1105,-0.0395,-0.1,-0.0335,0.1065,0.187,0.1855,-0.002,0.0435,0.0055
-0.221,-0.223,-0.002,0.222,-0.109,-0.1125,-0.0405,-0.0985,-0.034,0.105,0.1845,0.188,-0.0015,0.0395,0.005
-0.227,-0.2275,-0.0005,0.227,-0.113,-0.1145,-0.0405,-0.1005,-0.038,0.102,0.182,0.181,-0.0035,0.04,0.0045
-0.2265,-0.226,0.0005,0.226,-0.113,-0.113,-0.041,-0.1005,-0.0365,0.1015,0.1815,0.1805,-0.0035,0.041,0.005
-0.229,-0.2265,0.003,0.228,-0.116,-0.112,-0.0385,-0.096,-0.0315,0.106,0.1845,0.181,-0.0055,0.0365,0.006
-0.2315,-0.231,0.0005,0.2315,-0.1155,-0.1155,-0.035,-0.0905,-0.028,0.1075,0.185,0.1805,-0.0065,0.0395,0.006
-0.2355,-0.235,0.0005,0.2355,-0.118,-0.1175,-0.035,-0.0885,-0.0285,0.1055,0.1835,0.1815,-0.0065,0.0345,0.007
-0.2235,-0.2405,-0.017,0.232,-0.103,-0.129,-0.0435,-0.095,-0.034,0.0995,0.173,0.176,-0.004,0.0305,0.0085
-0.2135,-0.244,-0.03,0.2285,-0.0915,-0.1375,-0.0465,-0.0955,-0.0345,0.0975,0.171,0.1725,-0.003,0.0325,0.0085
-0.216,-0.2425,-0.026,0.229,-0.0945,-0.1345,-0.0425,-0.09,-0.0285,0.1,0.175,0.1745,-0.003,0.0255,0.008
-0.211,-0.2455,-0.0345,0.2285,-0.088,-0.1405,-0.0425,-0.0885,-0.028,0.099,0.171,0.171,-0.003,0.0215,0.007
-0.2125,-0.249,-0.0365,0.231,-0.088,-0.143,-0.0395,-0.087,-0.026,0.1,0.172,0.171,-0.003,0.0235,0.0065
-0.2185,-0.2515,-0.0325,0.235,-0.0925,-0.1425,-0.036,-0.083,-0.022,0.103,0.174,0.173,-0.0025,0.0235,0.008
-0.2115,-0.2525,-0.0415,0.232,-0.085,-0.1475,-0.0355,-0.079,-0.0195,0.1015,0.171,0.1675,-0.0055,0.015,0.0105
-0.2035,-0.2535,-0.05,0.2285,-0.0765,-0.152,-0.0385,-0.0815,-0.023,0.099,0.1635,0.1605,-0.0075,0.018,0.009
-0.201,-0.243,-0.0415,0.222,-0.0795,-0.1425,-0.035,-0.0775,-0.017,0.103,0.168,0.1615,-0.0075,0.016,0.01
-0.2045,-0.236,-0.031,0.22,-0.0865,-0.1335,-0.029,-0.0665,-0.0045,0.1125,0.172,0.163,-0.01,0.0095,0.0085
-0.2305,-0.262,-0.0315,0.246,-0.0995,-0.147,-0.0355,-0.0725,-0.01,0.1095,0.166,0.155,-0.012,0.011,0.008
-0.233,-0.2745,-0.0415,0.254,-0.0955,-0.1585,-0.0415,-0.0795,-0.0175,0.099,0.161,0.151,-0.01,0.0065,0.0135
-0.2175,-0.2665,-0.0485,0.242,-0.084,-0.1575,-0.0415,-0.0745,-0.015,0.1015,0.1595,0.1545,-0.007,0.003,0.013
-0.222,-0.26,-0.0375,0.241,-0.092,-0.149,-0.039,-0.07,-0.008,0.105,0.1635,0.1585,-0.005,0.0035,0.0125
-0.225,-0.26,-0.035,0.2425,-0.095,-0.1475,-0.039,-0.071,-0.0075,0.102,0.162,0.1555,-0.0055,0.006,0.0135
-0.2135,-0.261,-0.0475,0.237,-0.0825,-0.1545,-0.0415,-0.07,-0.008,0.1005,0.1595,0.153,-0.0065,0.007,0.012
-0.2085,-0.2585,-0.05,0.2335,-0.079,-0.1545,-0.0435,-0.07,-0.0085,0.0965,0.1545,0.15,-0.0075,0.007,0.0125
-0.2145,-0.263,-0.0485,0.2385,-0.083,-0.156,-0.0425,-0.067,-0.0065,0.0965,0.1535,0.148,-0.0095,0.0,0.0135
-0.2115,-0.266,-0.0545,0.239,-0.0785,-0.1605,-0.039,-0.06,-0.001,0.102,0.156,0.15,-0.0095,-0.004,0.0135
-0.2085,-0.2695,-0.0605,0.239,-0.0735,-0.1655,-0.0385,-0.0575,0.002,0.1015,0.155,0.148,-0.009,-0.0025,0.015
-0.208,-0.275,-0.067,0.2415,-0.0705,-0.171,-0.04,-0.0545,0.0045,0.1005,0.1535,0.145,-0.0095,-0.006,0.0165
-0.2105,-0.282,-0.0715,0.2465,-0.0695,-0.177,-0.041,-0.051,0.006,0.101,0.1505,0.142,-0.009,-0.0115,0.0175
-0.2155,-0.285,-0.0695,0.25,-0.073,-0.177,-0.0375,-0.0445,0.0125,0.104,0.1535,0.148,-0.006,-0.0145,0.0195
-0.2115,-0.289,-0.078,0.2505,-0.0665,-0.184,-0.0375,-0.041,0.0145,0.104,0.1505,0.145,-0.007,-0.0135,0.02
-0.204,-0.284,-0.0805,0.244,-0.0615,-0.1825,-0.032,-0.033,0.022,0.109,0.152,0.1455,-0.0075,-0.018,0.0185
-0.193,-0.287,-0.094,0.24,-0.049,-0.1905,-0.0345,-0.0335,0.0225,0.1065,0.1455,0.141,-0.0065,-0.023,0.0225
-0.1775,-0.2995,-0.122,0.2385,-0.0275,-0.211,-0.0455,-0.041,0.014,0.0945,0.1295,0.125,-0.009,-0.028,0.0245
-0.2005,-0.309,-0.1085,0.2545,-0.046,-0.209,-0.0395,-0.032,0.024,0.1005,0.1325,0.128,-0.0105,-0.033,0.024
-0.19,-0.297,-0.107,0.2435,-0.0415,-0.202,-0.0315,-0.021,0.035,0.109,0.139,0.1325,-0.009,-0.034,0.026
-0.162,-0.2715,-0.1095,0.2165,-0.026,-0.1905,-0.022,-0.0055,0.047,0.119,0.1455,0.1415,-0.0065,-0.0385,0.025
-0.1925,-0.297,-0.1045,0.2445,-0.0435,-0.201,-0.0255,-0.005,0.0475,0.116,0.14,0.136,-0.0055,-0.0395,0.0255
-0.1995,-0.323,-0.1235,0.2615,-0.038,-0.2235,-0.0365,-0.0135,0.0405,0.104,0.129,0.122,-0.007,-0.0435,0.027
-0.1945,-0.324,-0.1295,0.259,-0.032,-0.227,-0.0385,-0.0105,0.045,0.105,0.126,0.119,-0.0075,-0.048,0.027
-0.188,-0.316,-0.128,0.252,-0.03,-0.2225,-0.0345,-0.0035,0.0515,0.1075,0.126,0.12,-0.0065,-0.0525,0.027
-0.194,-0.311,-0.117,0.2525,-0.038,-0.2145,-0.0245,0.0095,0.0625,0.116,0.1305,0.126,-0.007,-0.0555,0.0295
-0.2125,-0.322,-0.109,0.2675,-0.0515,-0.216,-0.0225,0.0155,0.068,0.118,0.1285,0.124,-0.0075,-0.0545,0.0305
-0.192,-0.323,-0.131,0.2575,-0.0305,-0.227,-0.0285,0.015,0.066,0.1135,0.1205,0.1165,-0.0065,-0.055,0.0305
-0.167,-0.3205,-0.153,0.244,-0.007,-0.237,-0.0315,0.0165,0.069,0.111,0.1165,0.1105,-0.0065,-0.061,0.0335
-0.1615,-0.32,-0.1585,0.2405,-0.0015,-0.2395,-0.025,0.024,0.078,0.117,0.119,0.1135,-0.0075,-0.0655,0.0355
-0.168,-0.33,-0.162,0.249,-0.0025,-0.2465,-0.023,0.0325,0.0855,0.122,0.116,0.112,-0.0065,-0.0635,0.0385
-0.162,-0.3375,-0.1755,0.25,0.007,-0.2565,-0.025,0.0355,0.089,0.121,0.1115,0.1065,-0.0065,-0.067,0.041
-0.157,-0.3425,-0.1855,0.2495,0.0145,-0.2645,-0.025,0.0405,0.0935,0.121,0.1085,0.105,-0.005,-0.077,0.041
-0.166,-0.3625,-0.1965,0.264,0.0155,-0.28,-0.0295,0.039,0.0925,0.1155,0.1015,0.095,-0.0055,-0.0925,0.04
-0.151,-0.36,-0.2095,0.2555,0.0295,-0.285,-0.0265,0.0445,0.1,0.1205,0.1005,0.0945,-0.0065,-0.0995,0.04
-0.146,-0.3575,-0.211,0.252,0.0325,-0.2845,-0.021,0.054,0.1105,0.1255,0.1015,0.098,-0.0045,-0.1025,0.0405
-0.1525,-0.3655,-0.2125,0.259,0.03,-0.289,-0.019,0.0595,0.1165,0.129,0.101,0.0965,-0.0045,-0.109,0.042
-0.146,-0.3655,-0.2195,0.256,0.037,-0.2925,-0.017,0.069,0.1225,0.13,0.1005,0.098,-0.0035,-0.1075,0.0455
-0.141,-0.367,-0.226,0.254,0.043,-0.297,-0.017,0.076,0.1295,0.1295,0.1,0.097,-0.0025,-0.105,0.046
-0.142,-0.362,-0.22,0.252,0.0395,-0.2915,-0.015,0.0825,0.1395,0.1345,0.1005,0.095,-0.003,-0.1055,0.047
-0.145,-0.3685,-0.224,0.257,0.0395,-0.2965,-0.0165,0.0855,0.144,0.1335,0.0975,0.0905,-0.003,-0.111,0.046
-0.1605,-0.381,-0.2205,0.2705,0.03,-0.301,-0.0135,0.092,0.152,0.139,0.0985,0.09,-0.001,-0.123,0.0475
-0.156,-0.382,-0.226,0.269,0.0355,-0.304,-0.0145,0.096,0.155,0.1365,0.0935,0.0875,-0.0005,-0.1285,0.0505
-0.1385,-0.386,-0.248,0.262,0.055,-0.317,-0.023,0.0945,0.1525,0.129,0.0825,0.078,-0.0015,-0.1265,0.052
-0.136,-0.374,-0.238,0.255,0.051,-0.306,-0.0145,0.107,0.1665,0.1385,0.089,0.0845,0.0025,-0.1295,0.054
-0.137,-0.3665,-0.229,0.252,0.0465,-0.298,-0.0045,0.12,0.1805,0.147,0.0945,0.0895,0.0035,-0.1335,0.0555
-0.154,-0.3845,-0.2305,0.269,0.0385,-0.3075,-0.004,0.1235,0.1835,0.1455,0.0885,0.085,0.001,-0.136,0.054
-0.135,-0.3885,-0.2535,0.262,0.0595,-0.321,-0.0105,0.123,0.182,0.139,0.0785,0.074,0.0,-0.135,0.0565
-0.1175,-0.3945,-0.2765,0.256,0.0795,-0.3355,-0.0185,0.1215,0.1815,0.1345,0.0695,0.062,-0.0005,-0.135,0.059
-0.1245,-0.401,-0.2765,0.263,0.076,-0.339,-0.0145,0.1305,0.1905,0.1395,0.0725,0.063,-0.001,-0.1455,0.057
-0.125,-0.4,-0.275,0.2625,0.075,-0.3375,-0.009,0.1415,0.201,0.1445,0.074,0.0665,0.0,-0.1485,0.0615
-0.1385,-0.405,-0.2665,0.272,0.064,-0.336,-0.002,0.152,0.21,0.1495,0.0745,0.069,0.0015,-0.1495,0.0605
-0.12,-0.4135,-0.2935,0.267,0.087,-0.354,-0.009,0.1495,0.2095,0.1455,0.0675,0.0585,0.001,-0.158,0.06
-0.0915,-0.4185,-0.327,0.255,0.118,-0.373,-0.0155,0.1485,0.21,0.141,0.0585,0.0485,0.0005,-0.1635,0.0625
-0.0885,-0.4145,-0.3265,0.2515,0.119,-0.3705,-0.0095,0.1625,0.221,0.1485,0.063,0.053,0.002,-0.1705,0.063
-0.0895,-0.419,-0.329,0.254,0.12,-0.3745,-0.0095,0.1685,0.2275,0.1515,0.0605,0.0505,0.002,-0.1815,0.063
-0.093,-0.4285,-0.3355,0.261,0.1215,-0.3825,-0.005,0.173,0.2345,0.153,0.06,0.0445,-0.002,-0.188,0.0615
-0.0775,-0.4285,-0.351,0.253,0.137,-0.39,-0.004,0.179,0.2375,0.1525,0.056,0.0455,0.0,-0.1885,0.0645
-0.078,-0.434,-0.356,0.256,0.1395,-0.395,-0.0045,0.184,0.2415,0.1535,0.051,0.045,0.0,-0.1915,0.065
-0.09,-0.441,-0.351,0.2655,0.131,-0.3965,-0.0035,0.188,0.2455,0.1535,0.0495,0.0415,-0.002,-0.1975,0.0655
-0.097,-0.448,-0.351,0.2725,0.127,-0.4,-0.0035,0.192,0.2515,0.1545,0.0465,0.039,-0.0005,-0.2015,0.0645
-0.0985,-0.4495,-0.351,0.274,0.1265,-0.4005,0.0015,0.199,0.2615,0.16,0.0485,0.04,0.0005,-0.2005,0.065
-0.094,-0.4435,-0.3495,0.2685,0.128,-0.3965,0.006,0.207,0.2685,0.1635,0.0505,0.0425,0.0025,-0.198,0.0685
-0.102,-0.4455,-0.3435,0.2735,0.121,-0.395,0.0085,0.215,0.277,0.1685,0.0535,0.0435,0.0035,-0.201,0.0715
-0.092,-0.4475,-0.3555,0.27,0.132,-0.4015,0.0075,0.2185,0.278,0.1665,0.0505,0.0395,0.0055,-0.201,0.074
-0.092,-0.4495,-0.358,0.271,0.133,-0.404,0.0075,0.2215,0.282,0.1675,0.051,0.036,0.0045,-0.2035,0.0715
-0.0815,-0.4465,-0.365,0.264,0.142,-0.406,0.009,0.228,0.29,0.172,0.052,0.036,0.003,-0.205,0.069
-0.0755,-0.4425,-0.367,0.259,0.146,-0.405,0.0135,0.237,0.298,0.1765,0.054,0.0365,0.0035,-0.2005,0.069
-0.079,-0.4445,-0.366,0.2615,0.1435,-0.4055,0.0165,0.2415,0.305,0.179,0.0535,0.036,0.0035,-0.2065,0.07
-0.067,-0.4505,-0.3835,0.2585,0.1585,-0.417,0.017,0.2455,0.3075,0.176,0.0475,0.0325,0.0045,-0.2155,0.069
-0.072,-0.458,-0.386,0.265,0.1575,-0.4225,0.0185,0.25,0.3105,0.1765,0.047,0.029,0.0045,-0.217,0.068
-0.0585,-0.4515,-0.3925,0.255,0.1675,-0.4225,0.02,0.2565,0.316,0.178,0.0455,0.0285,0.007,-0.214,0.069
-0.0525,-0.4475,-0.395,0.25,0.1715,-0.421,0.024,0.2635,0.3245,0.181,0.044,0.0285,0.0065,-0.2125,0.069
-0.0505,-0.4515,-0.401,0.251,0.1755,-0.4265,0.0245,0.266,0.327,0.1815,0.0415,0.022,0.006,-0.214,0.0685
-0.0485,-0.458,-0.41,0.253,0.181,-0.4345,0.0245,0.27,0.3295,0.18,0.038,0.0205,0.007,-0.221,0.0695
-0.047,-0.4565,-0.4095,0.2515,0.1815,-0.433,0.0245,0.276,0.336,0.1835,0.0385,0.0195,0.007,-0.2275,0.067
-0.038,-0.4525,-0.4145,0.2455,0.1885,-0.434,0.0265,0.2825,0.342,0.1875,0.039,0.0205,0.01,-0.2315,0.0685
-0.0335,-0.453,-0.42,0.2435,0.1935,-0.437,0.0285,0.288,0.3485,0.19,0.037,0.021,0.0105,-0.2345,0.0695
-0.014,-0.4405,-0.4265,0.227,0.2065,-0.4335,0.035,0.2985,0.3575,0.1955,0.039,0.0215,0.0095,-0.2315,0.0675
-0.0195,-0.44,-0.4205,0.2295,0.201,-0.4305,0.039,0.302,0.362,0.196,0.0385,0.021,0.0105,-0.225,0.0675
-0.0285,-0.4415,-0.4125,0.235,0.1925,-0.4275,0.041,0.3075,0.369,0.2,0.0385,0.0225,0.0105,-0.2255,0.0665
-0.037,-0.4465,-0.4095,0.2415,0.1865,-0.428,0.045,0.3175,0.3775,0.205,0.038,0.0245,0.0115,-0.233,0.067
-0.0255,-0.4375,-0.4125,0.2315,0.1935,-0.4255,0.045,0.319,0.3795,0.203,0.034,0.02,0.0105,-0.2335,0.066
-0.0115,-0.423,-0.4115,0.217,0.2,-0.4175,0.0505,0.328,0.3885,0.2085,0.038,0.022,0.01,-0.2325,0.066
-0.0165,-0.4215,-0.4055,0.219,0.1945,-0.414,0.055,0.335,0.396,0.212,0.0375,0.0215,0.0095,-0.231,0.065
-0.0215,-0.4385,-0.417,0.23,0.198,-0.428,0.048,0.329,0.3915,0.2035,0.0255,0.0125,0.0105,-0.2305,0.066
-0.055,-0.4765,-0.4215,0.266,0.1835,-0.449,0.035,0.3195,0.382,0.191,0.011,-0.001,0.0115,-0.2285,0.065
-0.0645,-0.48,-0.416,0.272,0.176,-0.4485,0.0345,0.322,0.386,0.191,0.01,-0.0035,0.0105,-0.2275,0.0635
-0.04,-0.461,-0.421,0.2505,0.1905,-0.441,0.047,0.3355,0.4005,0.202,0.0195,0.0035,0.0095,-0.2335,0.064
-0.007,-0.4385,-0.4315,0.223,0.2125,-0.4355,0.057,0.346,0.4105,0.2085,0.0255,0.0055,0.008,-0.2315,0.0615
-0.034,-0.461,-0.427,0.2475,0.197,-0.4445,0.053,0.345,0.4085,0.205,0.02,-0.0015,0.0095,-0.2395,0.062
-0.0515,-0.4815,-0.43,0.2665,0.1895,-0.456,0.0475,0.342,0.406,0.1995,0.01,-0.003,0.0125,-0.241,0.0625
-0.03,-0.4665,-0.4365,0.248,0.2035,-0.4515,0.055,0.35,0.416,0.2065,0.0155,-0.002,0.0105,-0.231,0.061
-0.037,-0.467,-0.43,0.252,0.1965,-0.4485,0.0615,0.3575,0.4235,0.213,0.022,-0.0025,0.01,-0.2385,0.0585
-0.0365,-0.4645,-0.428,0.2505,0.196,-0.4465,0.066,0.3655,0.4295,0.2175,0.0255,0.002,0.008,-0.2405,0.057
-0.02,-0.459,-0.439,0.2395,0.2095,-0.449,0.0655,0.3675,0.4305,0.2165,0.022,0.002,0.01,-0.245,0.0565
0.001,-0.461,-0.462,0.23,0.232,-0.462,0.059,0.3615,0.425,0.209,0.0125,-0.005,0.014,-0.251,0.0585
0.0115,-0.466,-0.477,0.227,0.2445,-0.472,0.057,0.358,0.422,0.2065,0.011,-0.01,0.0125,-0.2465,0.057
0.0055,-0.4595,-0.465,0.227,0.2355,-0.4625,0.065,0.3675,0.429,0.211,0.016,-0.004,0.0125,-0.244,0.053
-0.0165,-0.4565,-0.44,0.2365,0.212,-0.4485,0.074,0.3785,0.4395,0.219,0.0225,0.002,0.013,-0.2435,0.053
-0.0235,-0.459,-0.4355,0.2415,0.2065,-0.4475,0.0775,0.3785,0.441,0.2195,0.0245,0.0025,0.012,-0.2465,0.05
-0.013,-0.4545,-0.4415,0.234,0.2145,-0.4485,0.0815,0.3845,0.4455,0.2245,0.0265,0.004,0.0105,-0.247,0.048
0.003,-0.445,-0.4475,0.221,0.2255,-0.4465,0.0845,0.388,0.45,0.2295,0.0265,0.004,0.011,-0.248,0.047
-0.013,-0.455,-0.4425,0.234,0.215,-0.449,0.0825,0.3845,0.4465,0.225,0.0265,0.004,0.0115,-0.247,0.048
-0.022,-0.4575,-0.4355,0.24,0.207,-0.447,0.0815,0.385,0.4455,0.2235,0.028,0.004,0.0105,-0.244,0.047
-0.021,-0.447,-0.426,0.234,0.2025,-0.4365,0.086,0.3895,0.451,0.2275,0.03,0.0055,0.011,-0.236,0.0435
-0.0325,-0.455,-0.423,0.2435,0.1955,-0.439,0.087,0.3895,0.4525,0.228,0.03,0.004,0.0115,-0.233,0.0405
-0.034,-0.451,-0.417,0.2425,0.1915,-0.4345,0.094,0.3935,0.4565,0.2305,0.034,0.006,0.01,-0.2345,0.04
-0.0395,-0.4495,-0.41,0.2445,0.1855,-0.43,0.0985,0.3965,0.458,0.2325,0.036,0.0115,0.012,-0.2305,0.0415
-0.0185,-0.451,-0.4325,0.235,0.2075,-0.442,0.0945,0.389,0.4505,0.2275,0.03,0.0075,0.014,-0.232,0.0395
-0.011,-0.45,-0.4395,0.2305,0.2145,-0.445,0.097,0.3865,0.4475,0.224,0.0285,0.005,0.012,-0.231,0.036
-0.011,-0.4475,-0.4365,0.2295,0.213,-0.4425,0.0985,0.3895,0.4515,0.2255,0.031,0.009,0.014,-0.231,0.0345
0.0,-0.4345,-0.4345,0.217,0.2175,-0.4345,0.102,0.394,0.4565,0.23,0.036,0.0165,0.014,-0.231,0.0335
