Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6,vx,vy,vz
0.042,0.0095,-0.002,-0.0115,-0.004,0.0105,-0.0065,-0.043,-0.155,-0.2675,-0.1435,-0.0865,-0.0875,-0.065,0.061,-0.0165
0.043,-0.003,0.008,0.011,-0.003,-0.007,0.0095,-0.0405,-0.155,-0.2675,-0.141,-0.0855,-0.087,-0.0645,0.072,-0.019
0.044,-0.0075,0.007,0.0145,0.0,-0.0105,0.0105,-0.039,-0.153,-0.2645,-0.1375,-0.0805,-0.082,-0.0625,0.074,-0.0225
0.045,-0.014,0.0175,0.0315,-0.002,-0.0225,0.0235,-0.0375,-0.1495,-0.26,-0.1335,-0.076,-0.0765,-0.0615,0.0725,-0.025
0.046,-0.0255,0.012,0.038,0.0065,-0.0315,0.0245,-0.0285,-0.1425,-0.253,-0.1265,-0.0715,-0.069,-0.0605,0.071,-0.023
0.047,-0.0155,0.018,0.0335,-0.0015,-0.0245,0.0255,-0.029,-0.144,-0.2535,-0.1265,-0.071,-0.07,-0.0605,0.0865,-0.015
0.048,0.0155,0.0335,0.0175,-0.025,-0.0005,0.025,-0.039,-0.1525,-0.2645,-0.136,-0.081,-0.0795,-0.058,0.0895,-0.0055
0.049,0.0235,0.02,-0.0035,-0.022,0.0135,0.008,-0.0375,-0.151,-0.2645,-0.134,-0.0795,-0.078,-0.058,0.0875,0.0
0.05,0.018,0.038,0.02,-0.0285,-0.0005,0.0285,-0.0365,-0.1515,-0.262,-0.131,-0.0765,-0.0765,-0.058,0.101,-0.001
0.051,0.005,0.054,0.049,-0.03,-0.0215,0.051,-0.0305,-0.1455,-0.255,-0.1265,-0.071,-0.0705,-0.056,0.09,-0.0095
0.052,-0.0385,0.0405,0.0785,-0.001,-0.0585,0.059,-0.0195,-0.1335,-0.243,-0.1155,-0.0585,-0.0585,-0.057,0.0835,-0.012
0.053,-0.066,0.0175,0.0835,0.024,-0.0745,0.05,-0.0175,-0.1315,-0.2385,-0.1125,-0.0575,-0.057,-0.0575,0.074,-0.02
0.054,-0.049,0.0085,0.057,0.02,-0.053,0.0325,-0.021,-0.135,-0.2435,-0.118,-0.0625,-0.0625,-0.0575,0.069,-0.0285
0.055,-0.0225,0.033,0.0555,-0.0055,-0.0385,0.044,-0.0355,-0.151,-0.26,-0.1345,-0.0785,-0.0785,-0.058,0.0845,-0.0245
0.056,-0.022,0.011,0.033,0.0055,-0.027,0.0215,-0.033,-0.152,-0.2585,-0.1335,-0.078,-0.077,-0.058,0.072,-0.0155
0.057,-0.0365,0.004,0.0405,0.016,-0.0385,0.022,-0.035,-0.155,-0.262,-0.138,-0.081,-0.082,-0.0605,0.0805,-0.0125
0.058,-0.033,0.0165,0.0495,0.008,-0.041,0.0325,-0.046,-0.167,-0.272,-0.1505,-0.093,-0.092,-0.059,0.104,-0.0095
0.059,0.004,0.022,0.018,-0.013,-0.007,0.0195,-0.0495,-0.168,-0.2725,-0.151,-0.0955,-0.0935,-0.059,0.109,-0.006
0.06,0.025,0.033,0.008,-0.0295,0.009,0.02,-0.049,-0.166,-0.2715,-0.1505,-0.095,-0.0945,-0.062,0.106,-0.0075
0.061,0.011,0.0325,0.0215,-0.022,-0.0055,0.0265,-0.042,-0.1585,-0.2645,-0.1435,-0.0875,-0.0865,-0.062,0.1035,-0.0035
0.062,0.0005,0.04,0.0395,-0.0205,-0.019,0.039,-0.035,-0.1525,-0.258,-0.1355,-0.08,-0.0785,-0.0605,0.101,-0.001
0.063,-0.008,0.043,0.051,-0.0175,-0.029,0.0465,-0.0235,-0.1445,-0.2465,-0.1235,-0.0695,-0.0685,-0.0595,0.1015,-0.001
0.064,0.006,0.0465,0.04,-0.0265,-0.017,0.043,-0.0335,-0.1545,-0.257,-0.133,-0.08,-0.079,-0.0595,0.1085,-0.0015
0.065,0.0045,0.0405,0.036,-0.023,-0.0155,0.038,-0.0405,-0.1635,-0.266,-0.1435,-0.089,-0.0865,-0.058,0.1115,-0.0045
0.066,-0.0115,0.0915,0.1035,-0.04,-0.057,0.097,-0.05,-0.169,-0.274,-0.149,-0.0945,-0.093,-0.059,0.141,-0.006
0.067,0.003,0.0775,0.075,-0.0405,-0.0355,0.076,-0.046,-0.162,-0.268,-0.1425,-0.088,-0.0865,-0.057,0.114,-0.005
0.068,0.025,0.021,-0.0035,-0.023,0.0145,0.0085,-0.028,-0.147,-0.251,-0.125,-0.0705,-0.07,-0.0555,0.066,-0.008
0.069,0.0485,0.04,-0.0085,-0.0445,0.0285,0.0155,-0.042,-0.1635,-0.2675,-0.1395,-0.083,-0.0845,-0.0565,0.077,-0.0055
0.07,0.038,0.028,-0.0105,-0.033,0.0245,0.0085,-0.0465,-0.1685,-0.2735,-0.145,-0.09,-0.0895,-0.0565,0.082,-0.001
0.071,0.0065,0.0265,0.02,-0.0165,-0.0065,0.0225,-0.04,-0.1625,-0.2675,-0.1385,-0.0845,-0.084,-0.0565,0.09,-0.004
0.072,-0.018,0.029,0.0475,-0.006,-0.0325,0.038,-0.0375,-0.1605,-0.2625,-0.1365,-0.081,-0.0805,-0.0565,0.089,-0.006
0.073,-0.021,0.033,0.054,-0.006,-0.0375,0.043,-0.0315,-0.1525,-0.2545,-0.1295,-0.076,-0.074,-0.056,0.084,-0.006
0.074,-0.0155,0.0355,0.051,-0.0105,-0.033,0.043,-0.032,-0.152,-0.2555,-0.129,-0.0745,-0.0725,-0.056,0.09,0.0
0.075,-0.031,0.027,0.0585,0.0015,-0.0445,0.0425,-0.0305,-0.153,-0.256,-0.1305,-0.0745,-0.0725,-0.061,0.0845,0.0015
0.076,-0.0275,0.034,0.062,-0.0035,-0.045,0.048,-0.025,-0.1505,-0.2525,-0.1265,-0.071,-0.0705,-0.062,0.0955,-0.0005
0.077,-0.0045,0.0385,0.043,-0.0175,-0.0235,0.04,-0.034,-0.1585,-0.2595,-0.1345,-0.0785,-0.078,-0.061,0.104,-0.0045
0.078,0.026,0.0355,0.009,-0.031,0.009,0.0215,-0.047,-0.173,-0.275,-0.1495,-0.0955,-0.0935,-0.0625,0.091,-0.005
0.079,0.039,0.035,-0.004,-0.0375,0.0215,0.015,-0.052,-0.1765,-0.2795,-0.153,-0.1,-0.098,-0.063,0.088,-0.006
0.08,0.019,0.0305,0.0115,-0.0245,0.0035,0.0205,-0.0445,-0.169,-0.2715,-0.146,-0.092,-0.091,-0.0645,0.08,-0.013
0.081,-0.0065,0.022,0.0285,-0.008,-0.0175,0.025,-0.038,-0.165,-0.2675,-0.1425,-0.0875,-0.088,-0.068,0.074,-0.017
0.082,-0.015,0.037,0.0515,-0.011,-0.033,0.044,-0.0425,-0.169,-0.2725,-0.1465,-0.092,-0.091,-0.067,0.0845,-0.019
0.083,-0.008,0.05,0.0575,-0.0215,-0.0325,0.053,-0.0505,-0.1775,-0.282,-0.154,-0.101,-0.0985,-0.067,0.0965,-0.0175
0.084,0.0025,0.0405,0.038,-0.0215,-0.0175,0.0385,-0.047,-0.174,-0.2795,-0.152,-0.098,-0.0955,-0.067,0.0945,-0.0155
0.085,0.012,0.0405,0.0285,-0.0265,-0.008,0.034,-0.0375,-0.1675,-0.2745,-0.1425,-0.089,-0.088,-0.0655,0.0905,-0.02
0.086,0.01,0.059,0.049,-0.0345,-0.0195,0.0535,-0.04,-0.1685,-0.275,-0.143,-0.089,-0.0895,-0.0645,0.092,-0.02
0.087,0.001,0.081,0.08,-0.041,-0.0395,0.08,-0.0505,-0.177,-0.282,-0.151,-0.098,-0.097,-0.0635,0.105,-0.0155
0.088,-0.0005,0.076,0.0765,-0.038,-0.038,0.076,-0.0485,-0.178,-0.2825,-0.15,-0.0985,-0.0965,-0.0635,0.1025,-0.0165
0.089,0.0035,0.0405,0.037,-0.022,-0.0165,0.038,-0.0345,-0.166,-0.2715,-0.139,-0.084,-0.084,-0.061,0.0745,-0.0195
0.09,0.0015,0.0295,0.028,-0.016,-0.013,0.028,-0.0305,-0.1635,-0.2675,-0.1345,-0.08,-0.078,-0.057,0.072,-0.023
0.091,-0.0265,0.045,0.0715,-0.0095,-0.049,0.058,-0.0255,-0.1565,-0.262,-0.1285,-0.075,-0.073,-0.0545,0.0865,-0.0195
0.092,-0.0275,0.0515,0.079,-0.012,-0.053,0.065,-0.0315,-0.1595,-0.2655,-0.1335,-0.0785,-0.0785,-0.053,0.093,-0.024
0.093,0.008,0.0475,0.0395,-0.028,-0.0155,0.043,-0.0485,-0.1755,-0.2795,-0.149,-0.0955,-0.0935,-0.0525,0.0825,-0.0305
0.094,0.0085,0.05,0.0415,-0.029,-0.0165,0.045,-0.0445,-0.171,-0.2785,-0.1455,-0.0935,-0.092,-0.0545,0.085,-0.024
0.095,-0.012,0.039,0.0515,-0.0135,-0.0315,0.045,-0.036,-0.1625,-0.269,-0.137,-0.0845,-0.0825,-0.056,0.0865,-0.019
0.096,-0.025,0.031,0.056,-0.0035,-0.04,0.043,-0.0395,-0.166,-0.27,-0.1405,-0.087,-0.086,-0.0565,0.087,-0.015
0.097,-0.014,0.048,0.0625,-0.017,-0.038,0.0545,-0.042,-0.17,-0.2725,-0.143,-0.0905,-0.0885,-0.0575,0.1005,-0.0215
0.098,-0.0075,0.0435,0.0505,-0.018,-0.0285,0.0465,-0.0455,-0.172,-0.2755,-0.1465,-0.095,-0.093,-0.059,0.0985,-0.0135
0.099,-0.0135,0.049,0.0625,-0.018,-0.0375,0.055,-0.045,-0.17,-0.275,-0.148,-0.0975,-0.0965,-0.063,0.11,0.0065
0.1,-0.0355,0.049,0.0845,-0.007,-0.06,0.0665,-0.0445,-0.1705,-0.2755,-0.1485,-0.0975,-0.0955,-0.0645,0.123,0.0085
0.101,-0.021,0.049,0.07,-0.0145,-0.045,0.059,-0.044,-0.1705,-0.276,-0.1485,-0.0975,-0.096,-0.065,0.1115,0.003
0.102,0.0375,0.082,0.0445,-0.06,-0.003,0.0625,-0.0385,-0.166,-0.2705,-0.1425,-0.0915,-0.09,-0.066,0.1005,-0.0075
0.103,0.028,0.071,0.0425,-0.05,-0.007,0.056,-0.0455,-0.173,-0.277,-0.149,-0.0975,-0.096,-0.0645,0.102,-0.01
0.104,0.0045,0.0515,0.047,-0.0285,-0.021,0.049,-0.054,-0.183,-0.286,-0.159,-0.1075,-0.106,-0.063,0.106,-0.0045
0.105,0.022,0.059,0.0375,-0.041,-0.0075,0.048,-0.0535,-0.1825,-0.286,-0.1585,-0.107,-0.104,-0.062,0.1065,-0.009
0.106,0.0195,0.0695,0.05,-0.045,-0.015,0.0595,-0.046,-0.1745,-0.2745,-0.148,-0.0975,-0.0945,-0.061,0.107,-0.0115
0.107,0.0105,0.071,0.0605,-0.0415,-0.0245,0.0655,-0.043,-0.1725,-0.272,-0.1455,-0.095,-0.0925,-0.061,0.103,-0.008
0.108,0.014,0.0495,0.036,-0.032,-0.0105,0.042,-0.0425,-0.1705,-0.2705,-0.145,-0.0955,-0.0935,-0.06,0.09,-0.0045
0.109,0.008,0.05,0.0425,-0.029,-0.017,0.0455,-0.0405,-0.169,-0.267,-0.1415,-0.091,-0.09,-0.0585,0.1005,-0.009
0.11,0.0065,0.09,0.0835,-0.0485,-0.0385,0.0865,-0.046,-0.1745,-0.272,-0.1445,-0.0935,-0.091,-0.056,0.128,-0.0175
0.111,-0.0065,0.0545,0.061,-0.0245,-0.0335,0.0575,-0.04,-0.169,-0.2665,-0.1395,-0.091,-0.0875,-0.0545,0.0995,-0.016
0.112,-0.0135,0.03,0.0435,-0.0085,-0.0285,0.0365,-0.03,-0.1595,-0.255,-0.13,-0.081,-0.0775,-0.057,0.085,-0.0215
0.113,-0.001,0.078,0.079,-0.039,-0.0395,0.078,-0.03,-0.161,-0.254,-0.129,-0.0805,-0.077,-0.0585,0.1015,-0.0225
0.114,-0.001,0.055,0.056,-0.027,-0.028,0.055,-0.0305,-0.1625,-0.2565,-0.131,-0.0825,-0.079,-0.059,0.0925,-0.0175
0.115,0.011,0.062,0.0515,-0.0365,-0.02,0.0565,-0.0345,-0.1655,-0.2595,-0.1355,-0.088,-0.0855,-0.0595,0.107,-0.0235
0.116,0.0215,0.104,0.0825,-0.063,-0.0305,0.0925,-0.039,-0.172,-0.2625,-0.14,-0.094,-0.0905,-0.0575,0.134,-0.0285
0.117,0.018,0.0985,0.081,-0.0585,-0.031,0.0895,-0.023,-0.157,-0.247,-0.1255,-0.077,-0.0765,-0.0575,0.1375,-0.028
0.118,0.0165,0.0975,0.081,-0.0575,-0.032,0.089,-0.013,-0.146,-0.235,-0.114,-0.068,-0.069,-0.0585,0.13,-0.025
0.119,0.0155,0.1035,0.0875,-0.06,-0.0355,0.095,-0.0215,-0.151,-0.2395,-0.12,-0.075,-0.077,-0.06,0.1495,-0.0235
0.12,-0.009,0.111,0.1195,-0.051,-0.064,0.1145,-0.0215,-0.153,-0.2435,-0.1235,-0.0755,-0.0795,-0.062,0.1725,-0.0185
0.121,-0.024,0.1065,0.1305,-0.0415,-0.077,0.118,-0.0195,-0.1565,-0.2465,-0.1245,-0.0785,-0.076,-0.061,0.17,-0.012
0.122,0.013,0.099,0.086,-0.056,-0.036,0.092,-0.026,-0.1605,-0.2515,-0.132,-0.086,-0.081,-0.06,0.167,-0.0115
0.123,0.0225,0.098,0.0755,-0.0605,-0.0265,0.0865,-0.025,-0.1615,-0.2515,-0.1305,-0.0855,-0.085,-0.061,0.1615,-0.0155
0.124,-0.0055,0.102,0.1075,-0.0485,-0.0565,0.1045,-0.013,-0.151,-0.2435,-0.1195,-0.075,-0.0755,-0.062,0.165,-0.02
0.125,-0.0185,0.1105,0.129,-0.046,-0.0735,0.119,-0.006,-0.144,-0.237,-0.114,-0.068,-0.0685,-0.061,0.165,-0.0195
0.126,-0.02,0.101,0.121,-0.041,-0.07,0.1105,0.0005,-0.1375,-0.23,-0.107,-0.062,-0.061,-0.0605,0.1515,-0.019
0.127,-0.0075,0.127,0.134,-0.06,-0.0705,0.13,-0.0065,-0.1445,-0.24,-0.115,-0.0685,-0.0685,-0.061,0.1735,-0.0175
0.128,0.0015,0.1295,0.128,-0.066,-0.063,0.128,-0.01,-0.1515,-0.245,-0.1195,-0.0695,-0.0705,-0.0595,0.18,-0.0155
0.129,0.005,0.0955,0.0905,-0.0505,-0.0425,0.0925,0.001,-0.143,-0.2355,-0.108,-0.06,-0.062,-0.0605,0.157,-0.0165
0.13,0.0045,0.112,0.107,-0.0585,-0.051,0.109,-0.0035,-0.1485,-0.2375,-0.105,-0.063,-0.0655,-0.059,0.167,-0.022
0.131,-0.003,0.112,0.115,-0.055,-0.0585,0.113,-0.004,-0.147,-0.236,-0.104,-0.062,-0.063,-0.0555,0.166,-0.0245
0.132,0.0075,0.1135,0.1065,-0.0605,-0.049,0.1095,-0.0095,-0.153,-0.2395,-0.113,-0.067,-0.068,-0.055,0.168,-0.027
0.133,0.027,0.1285,0.101,-0.078,-0.037,0.1145,-0.0175,-0.1605,-0.2455,-0.119,-0.073,-0.0735,-0.054,0.182,-0.0285
0.134,0.0245,0.1375,0.1125,-0.081,-0.044,0.1245,-0.0165,-0.157,-0.245,-0.12,-0.072,-0.072,-0.055,0.186,-0.0275
0.135,0.0025,0.149,0.1465,-0.076,-0.0715,0.147,-0.016,-0.156,-0.241,-0.1155,-0.0685,-0.067,-0.0565,0.2055,-0.028
0.136,0.0,0.152,0.152,-0.076,-0.076,0.1515,-0.006,-0.144,-0.231,-0.104,-0.057,-0.056,-0.057,0.2095,-0.025
0.137,-0.006,0.168,0.174,-0.0815,-0.09,0.171,0.008,-0.13,-0.2165,-0.092,-0.0435,-0.043,-0.0605,0.204,-0.026
0.138,-0.01,0.168,0.178,-0.0795,-0.094,0.1725,0.002,-0.136,-0.2205,-0.096,-0.046,-0.045,-0.061,0.204,-0.0205
0.139,-0.0085,0.1405,0.149,-0.0665,-0.0785,0.144,-0.0175,-0.154,-0.2375,-0.111,-0.061,-0.0585,-0.063,0.198,-0.0175
0.14,-0.0185,0.122,0.1405,-0.052,-0.079,0.131,-0.029,-0.1675,-0.2465,-0.1195,-0.073,-0.071,-0.0705,0.1975,-0.0255
0.141,0.0015,0.115,0.1135,-0.0585,-0.056,0.114,-0.042,-0.175,-0.2545,-0.128,-0.081,-0.08,-0.072,0.1985,-0.031
0.142,0.013,0.1315,0.119,-0.0725,-0.053,0.125,-0.0465,-0.1755,-0.2565,-0.1285,-0.083,-0.08,-0.0715,0.2085,-0.0365
0.143,0.004,0.152,0.1475,-0.0785,-0.0715,0.149,-0.0465,-0.176,-0.2555,-0.1275,-0.0785,-0.0785,-0.0705,0.214,-0.0415
0.144,0.011,0.151,0.1395,-0.081,-0.064,0.1445,-0.0445,-0.1705,-0.2485,-0.12,-0.072,-0.071,-0.067,0.206,-0.0435
0.145,0.021,0.1655,0.1445,-0.0935,-0.0615,0.1545,-0.0385,-0.1625,-0.242,-0.111,-0.065,-0.0615,-0.064,0.2095,-0.044
0.146,0.0155,0.1735,0.1575,-0.095,-0.0705,0.165,-0.037,-0.159,-0.2405,-0.108,-0.059,-0.057,-0.0625,0.2085,-0.043
0.147,-0.002,0.166,0.1685,-0.082,-0.085,0.167,-0.0435,-0.165,-0.2465,-0.111,-0.0645,-0.062,-0.063,0.211,-0.037
0.148,0.006,0.148,0.1415,-0.0775,-0.0675,0.144,-0.0465,-0.165,-0.245,-0.1105,-0.0625,-0.061,-0.0605,0.207,-0.03
0.149,0.0175,0.1425,0.125,-0.08,-0.0535,0.133,-0.0415,-0.1565,-0.233,-0.099,-0.049,-0.048,-0.057,0.1995,-0.029
0.15,0.005,0.158,0.153,-0.0815,-0.074,0.155,-0.033,-0.1465,-0.222,-0.085,-0.036,-0.033,-0.0545,0.202,-0.027
0.151,-0.0035,0.1575,0.161,-0.077,-0.082,0.159,-0.038,-0.147,-0.221,-0.0835,-0.0325,-0.0295,-0.0545,0.2035,-0.027
0.152,-0.004,0.1525,0.1565,-0.0745,-0.08,0.1535,-0.0485,-0.157,-0.2295,-0.09,-0.038,-0.036,-0.052,0.2115,-0.0285
0.153,0.006,0.1615,0.156,-0.084,-0.0745,0.1585,-0.0585,-0.1665,-0.2385,-0.0985,-0.047,-0.0425,-0.0495,0.224,-0.022
0.154,0.028,0.2005,0.1725,-0.1145,-0.072,0.186,-0.085,-0.1935,-0.264,-0.124,-0.0715,-0.0685,-0.05,0.258,-0.013
0.155,0.0445,0.188,0.1435,-0.1165,-0.049,0.165,-0.0835,-0.192,-0.26,-0.1205,-0.0695,-0.0655,-0.047,0.2495,-0.0195
0.156,0.0385,0.1605,0.1225,-0.1,-0.0415,0.141,-0.07,-0.1765,-0.242,-0.1045,-0.054,-0.05,-0.0455,0.2195,-0.026
0.157,0.016,0.1685,0.1525,-0.0925,-0.068,0.16,-0.0655,-0.174,-0.2395,-0.1035,-0.0525,-0.0495,-0.0435,0.2325,-0.0285
0.158,-0.007,0.1535,0.1605,-0.0735,-0.0835,0.1565,-0.055,-0.1645,-0.2285,-0.0955,-0.043,-0.039,-0.044,0.2335,-0.0225
0.159,-0.013,0.1535,0.1665,-0.0705,-0.0895,0.1595,-0.0575,-0.1695,-0.233,-0.0975,-0.0455,-0.0425,-0.0445,0.224,-0.021
0.16,-0.015,0.1565,0.1715,-0.071,-0.093,0.1635,-0.0565,-0.1705,-0.2335,-0.0975,-0.0445,-0.0415,-0.045,0.2155,-0.0425
0.161,-0.0165,0.1635,0.18,-0.074,-0.098,0.1715,-0.0535,-0.1665,-0.231,-0.0935,-0.0405,-0.0375,-0.044,0.217,-0.042
0.162,-0.0065,0.19,0.1965,-0.092,-0.1015,0.193,-0.056,-0.164,-0.2325,-0.094,-0.041,-0.038,-0.04,0.233,-0.034
0.163,0.0025,0.191,0.1885,-0.097,-0.0925,0.189,-0.058,-0.1655,-0.234,-0.095,-0.0425,-0.0385,-0.0365,0.234,-0.034
0.164,0.0175,0.18,0.1625,-0.099,-0.0725,0.171,-0.0685,-0.175,-0.242,-0.101,-0.0485,-0.046,-0.033,0.2295,-0.04
0.165,0.053,0.174,0.121,-0.1135,-0.034,0.147,-0.076,-0.1795,-0.25,-0.108,-0.053,-0.0515,-0.029,0.2235,-0.042
0.166,0.074,0.161,0.0875,-0.1175,-0.0065,0.124,-0.0755,-0.179,-0.251,-0.107,-0.0535,-0.0505,-0.0255,0.212,-0.0265
0.167,0.0585,0.1625,0.104,-0.111,-0.0225,0.133,-0.08,-0.181,-0.2505,-0.1065,-0.0525,-0.0475,-0.021,0.2145,-0.022
0.168,0.0515,0.159,0.108,-0.1055,-0.028,0.133,-0.0755,-0.1695,-0.242,-0.0945,-0.0395,-0.0335,-0.0135,0.202,-0.0235
0.169,0.056,0.177,0.1215,-0.1165,-0.0325,0.1485,-0.0735,-0.165,-0.236,-0.0865,-0.0325,-0.025,-0.006,0.204,-0.025
