I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.146,0.039,0.0,-0.068,0.059,-0.176
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.146,0.039,0.0,-0.068,0.059,-0.171
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.146,0.039,0.0,-0.068,0.059,-0.166
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.151,0.039,0.0,-0.059,0.059,-0.176
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.156,0.039,0.0,-0.059,0.059,-0.176
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.161,0.039,0.0,-0.059,0.059,-0.176
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.166,0.039,0.0,-0.059,0.059,-0.176
-0.005,-0.024,-0.02,0.015,0.005,-0.024,0.176,0.049,0.01,-0.049,0.068,-0.176
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.176,0.049,0.01,-0.049,0.068,-0.176
0.005,-0.015,-0.02,0.005,0.01,-0.02,0.176,0.049,0.01,-0.049,0.068,-0.176
0.01,-0.01,-0.02,0.0,0.015,-0.015,0.176,0.049,0.01,-0.049,0.068,-0.176
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.176,0.049,0.01,-0.039,0.078,-0.166
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.176,0.049,0.01,-0.039,0.078,-0.166
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.176,0.049,0.01,-0.039,0.078,-0.166
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.176,0.049,0.01,-0.039,0.078,-0.166
-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.185,0.054,0.02,-0.029,0.088,-0.171
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.185,0.059,0.02,-0.029,0.088,-0.176
-0.024,-0.029,-0.005,0.029,-0.01,-0.02,0.185,0.063,0.02,-0.029,0.088,-0.181
-0.029,-0.029,0.0,0.029,-0.015,-0.015,0.185,0.068,0.02,-0.029,0.088,-0.185
-0.02,-0.015,0.005,0.02,-0.015,-0.005,0.176,0.073,0.024,-0.02,0.093,-0.181
-0.01,-0.01,0.0,0.01,-0.005,-0.005,0.176,0.078,0.029,-0.01,0.098,-0.176
0.0,-0.005,-0.005,0.005,0.0,-0.005,0.176,0.083,0.034,0.0,0.102,-0.171
0.01,0.0,-0.01,-0.005,0.01,-0.005,0.176,0.088,0.039,0.01,0.107,-0.166
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.156,0.098,0.054,0.015,0.122,-0.156
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.146,0.098,0.059,0.02,0.127,-0.146
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.137,0.098,0.063,0.024,0.132,-0.137
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.127,0.098,0.068,0.029,0.137,-0.127
0.005,0.005,0.0,-0.005,0.0,0.0,0.102,0.088,0.068,0.039,0.146,-0.137
0.01,0.01,0.0,-0.01,0.005,0.005,0.078,0.088,0.068,0.039,0.146,-0.137
0.015,0.015,0.0,-0.015,0.005,0.005,0.054,0.088,0.068,0.039,0.146,-0.137
0.02,0.02,0.0,-0.02,0.01,0.01,0.029,0.088,0.068,0.039,0.146,-0.137
0.01,0.02,0.01,-0.015,0.0,0.015,0.01,0.073,0.059,0.029,0.146,-0.137
0.01,0.02,0.01,-0.015,0.0,0.015,0.0,0.059,0.049,0.029,0.146,-0.137
0.01,0.02,0.01,-0.015,0.0,0.015,-0.01,0.044,0.039,0.029,0.146,-0.137
0.01,0.02,0.01,-0.015,0.0,0.015,-0.02,0.029,0.029,0.029,0.146,-0.137
0.02,0.01,-0.01,-0.015,0.015,0.0,-0.02,0.02,0.02,0.039,0.156,-0.137
0.02,0.01,-0.01,-0.015,0.015,0.0,-0.02,0.01,0.02,0.039,0.156,-0.137
0.02,0.01,-0.01,-0.015,0.015,0.0,-0.02,0.0,0.02,0.039,0.156,-0.137
0.02,0.01,-0.01,-0.015,0.015,0.0,-0.02,-0.01,0.02,0.039,0.156,-0.137
0.02,0.02,0.0,-0.02,0.01,0.01,-0.01,-0.02,0.01,0.034,0.151,-0.146
0.02,0.02,0.0,-0.02,0.01,0.01,-0.01,-0.02,0.01,0.029,0.146,-0.146
0.02,0.02,0.0,-0.02,0.01,0.01,-0.01,-0.02,0.01,0.024,0.142,-0.146
0.02,0.02,0.0,-0.02,0.01,0.01,-0.01,-0.02,0.01,0.02,0.137,-0.146
0.015,0.01,-0.005,-0.01,0.01,0.0,0.0,-0.029,0.01,0.029,0.142,-0.142
0.01,0.01,0.0,-0.01,0.005,0.005,0.0,-0.029,0.01,0.029,0.146,-0.137
0.005,0.01,0.005,-0.005,0.0,0.005,0.0,-0.029,0.01,0.029,0.151,-0.132
0.0,0.01,0.01,-0.005,-0.005,0.01,0.0,-0.029,0.01,0.029,0.156,-0.127
0.01,0.015,0.005,-0.01,0.0,0.01,0.005,-0.02,0.02,0.039,0.146,-0.137
0.01,0.02,0.01,-0.015,0.0,0.015,0.01,-0.02,0.02,0.039,0.146,-0.137
0.01,0.024,0.015,-0.015,-0.005,0.02,0.015,-0.02,0.02,0.039,0.146,-0.137
0.01,0.029,0.02,-0.02,-0.005,0.024,0.02,-0.02,0.02,0.039,0.146,-0.137
0.02,0.02,0.0,-0.02,0.01,0.01,0.029,-0.02,0.01,0.029,0.137,-0.146
0.02,0.02,0.0,-0.02,0.01,0.01,0.029,-0.02,0.01,0.029,0.137,-0.146
0.02,0.02,0.0,-0.02,0.01,0.01,0.029,-0.02,0.01,0.029,0.137,-0.146
0.02,0.02,0.0,-0.02,0.01,0.01,0.029,-0.02,0.01,0.029,0.137,-0.146
0.015,0.02,0.005,-0.015,0.005,0.01,0.039,-0.01,0.01,0.02,0.146,-0.146
0.01,0.02,0.01,-0.015,0.0,0.015,0.049,-0.01,0.01,0.02,0.146,-0.146
0.005,0.02,0.015,-0.01,-0.005,0.015,0.059,-0.01,0.01,0.02,0.146,-0.146
0.0,0.02,0.02,-0.01,-0.01,0.02,0.068,-0.01,0.01,0.02,0.146,-0.146
0.005,0.02,0.015,-0.01,-0.005,0.015,0.078,0.0,0.0,0.01,0.142,-0.161
0.01,0.02,0.01,-0.015,0.0,0.015,0.078,0.0,0.0,0.01,0.137,-0.166
0.015,0.02,0.005,-0.015,0.005,0.01,0.078,0.0,0.0,0.01,0.132,-0.171
0.02,0.02,0.0,-0.02,0.01,0.01,0.078,0.0,0.0,0.01,0.127,-0.176
0.015,0.015,0.0,-0.015,0.005,0.005,0.088,0.005,0.01,0.02,0.127,-0.171
0.01,0.01,0.0,-0.01,0.005,0.005,0.098,0.01,0.01,0.02,0.127,-0.166
0.005,0.005,0.0,-0.005,0.0,0.0,0.107,0.015,0.01,0.02,0.127,-0.161
0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.02,0.01,0.02,0.127,-0.156
-0.01,0.01,0.02,0.0,-0.015,0.015,0.117,0.01,0.0,0.015,0.112,-0.161
-0.01,0.01,0.02,0.0,-0.015,0.015,0.117,0.01,0.0,0.01,0.107,-0.166
-0.01,0.01,0.02,0.0,-0.015,0.015,0.117,0.01,0.0,0.005,0.102,-0.171
-0.01,0.01,0.02,0.0,-0.015,0.015,0.117,0.01,0.0,0.0,0.098,-0.176
-0.01,0.005,0.015,0.005,-0.015,0.01,0.117,0.0,-0.01,-0.01,0.088,-0.185
-0.01,0.0,0.01,0.005,-0.01,0.005,0.117,0.0,-0.01,-0.01,0.088,-0.185
-0.01,-0.005,0.005,0.01,-0.01,0.0,0.117,0.0,-0.01,-0.01,0.088,-0.185
-0.01,-0.01,0.0,0.01,-0.005,-0.005,0.117,0.0,-0.01,-0.01,0.088,-0.185
-0.005,0.005,0.01,0.0,-0.01,0.005,0.122,0.0,-0.015,-0.02,0.078,-0.195
0.0,0.01,0.01,-0.005,-0.005,0.01,0.127,0.0,-0.02,-0.02,0.078,-0.195
0.005,0.015,0.01,-0.01,-0.005,0.01,0.132,0.0,-0.024,-0.02,0.078,-0.195
0.01,0.02,0.01,-0.015,0.0,0.015,0.137,0.0,-0.029,-0.02,0.078,-0.195
0.0,0.015,0.015,-0.005,-0.01,0.015,0.146,0.01,-0.02,-0.02,0.078,-0.185
0.0,0.01,0.01,-0.005,-0.005,0.01,0.146,0.01,-0.02,-0.02,0.078,-0.185
0.0,0.005,0.005,0.0,-0.005,0.005,0.146,0.01,-0.02,-0.02,0.078,-0.185
0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.01,-0.02,-0.02,0.078,-0.185
0.005,0.005,0.0,-0.005,0.0,0.0,0.161,0.015,-0.015,-0.01,0.083,-0.185
0.01,0.01,0.0,-0.01,0.005,0.005,0.166,0.02,-0.01,-0.01,0.088,-0.185
0.015,0.015,0.0,-0.015,0.005,0.005,0.171,0.024,-0.005,-0.01,0.093,-0.185
0.02,0.02,0.0,-0.02,0.01,0.01,0.176,0.029,0.0,-0.01,0.098,-0.185
0.01,0.015,0.005,-0.01,0.0,0.01,0.176,0.02,-0.005,-0.02,0.088,-0.19
0.0,0.01,0.01,-0.005,-0.005,0.01,0.176,0.02,-0.01,-0.02,0.088,-0.195
-0.01,0.005,0.015,0.005,-0.015,0.01,0.176,0.02,-0.015,-0.02,0.088,-0.2
-0.02,0.0,0.02,0.01,-0.02,0.01,0.176,0.02,-0.02,-0.02,0.088,-0.205
-0.015,0.01,0.024,0.005,-0.02,0.015,0.185,0.029,-0.01,-0.024,0.078,-0.21
-0.01,0.01,0.02,0.0,-0.015,0.015,0.185,0.029,-0.01,-0.029,0.078,-0.215
-0.005,0.01,0.015,0.0,-0.01,0.01,0.185,0.029,-0.01,-0.034,0.078,-0.22
0.0,0.01,0.01,-0.005,-0.005,0.01,0.185,0.029,-0.01,-0.039,0.078,-0.224
0.01,0.0,-0.01,-0.005,0.01,-0.005,0.195,0.039,-0.02,-0.039,0.088,-0.215
0.01,0.0,-0.01,-0.005,0.01,-0.005,0.195,0.039,-0.02,-0.039,0.088,-0.215
0.01,0.0,-0.01,-0.005,0.01,-0.005,0.195,0.039,-0.02,-0.039,0.088,-0.215
0.01,0.0,-0.01,-0.005,0.01,-0.005,0.195,0.039,-0.02,-0.039,0.088,-0.215
0.0,-0.005,-0.005,0.005,0.0,-0.005,0.181,0.029,-0.02,-0.039,0.078,-0.215
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.176,0.029,-0.02,-0.039,0.078,-0.215
0.0,-0.015,-0.015,0.01,0.005,-0.015,0.171,0.029,-0.02,-0.039,0.078,-0.215
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.166,0.029,-0.02,-0.039,0.078,-0.215
-0.005,-0.034,-0.029,0.02,0.01,-0.034,0.156,0.024,-0.029,-0.044,0.078,-0.224
-0.01,-0.039,-0.029,0.024,0.01,-0.034,0.146,0.02,-0.029,-0.049,0.078,-0.224
-0.015,-0.044,-0.029,0.029,0.005,-0.039,0.137,0.015,-0.029,-0.054,0.078,-0.224
-0.02,-0.049,-0.029,0.034,0.005,-0.039,0.127,0.01,-0.029,-0.059,0.078,-0.224
-0.01,-0.029,-0.02,0.02,0.005,-0.024,0.102,-0.01,-0.039,-0.068,0.073,-0.229
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.078,-0.02,-0.049,-0.068,0.068,-0.234
0.01,-0.01,-0.02,0.0,0.015,-0.015,0.054,-0.029,-0.059,-0.068,0.063,-0.239
0.02,0.0,-0.02,-0.01,0.02,-0.01,0.029,-0.039,-0.068,-0.068,0.059,-0.244
0.015,-0.005,-0.02,-0.005,0.015,-0.015,0.02,-0.054,-0.078,-0.078,0.049,-0.234
0.01,-0.01,-0.02,0.0,0.015,-0.015,0.01,-0.059,-0.078,-0.078,0.049,-0.234
0.005,-0.015,-0.02,0.005,0.01,-0.02,0.0,-0.063,-0.078,-0.078,0.049,-0.234
0.0,-0.02,-0.02,0.01,0.01,-0.02,-0.01,-0.068,-0.078,-0.078,0.049,-0.234
0.005,-0.029,-0.034,0.015,0.02,-0.034,-0.01,-0.073,-0.083,-0.078,0.049,-0.249
0.01,-0.029,-0.039,0.01,0.024,-0.034,-0.01,-0.078,-0.088,-0.078,0.049,-0.254
0.015,-0.029,-0.044,0.01,0.029,-0.039,-0.01,-0.083,-0.093,-0.078,0.049,-0.259
0.02,-0.029,-0.049,0.005,0.034,-0.039,-0.01,-0.088,-0.098,-0.078,0.049,-0.264
0.005,-0.039,-0.044,0.02,0.024,-0.044,-0.005,-0.083,-0.088,-0.088,0.049,-0.254
0.0,-0.039,-0.039,0.02,0.02,-0.039,0.0,-0.078,-0.088,-0.088,0.049,-0.254
-0.005,-0.039,-0.034,0.024,0.015,-0.039,0.005,-0.073,-0.088,-0.088,0.049,-0.254
-0.01,-0.039,-0.029,0.024,0.01,-0.034,0.01,-0.068,-0.088,-0.088,0.049,-0.254
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.015,-0.068,-0.088,-0.078,0.049,-0.254
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.02,-0.068,-0.088,-0.078,0.049,-0.254
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.024,-0.068,-0.088,-0.078,0.049,-0.254
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.029,-0.068,-0.088,-0.078,0.049,-0.254
-0.015,-0.034,-0.02,0.024,0.0,-0.029,0.039,-0.068,-0.088,-0.088,0.039,-0.259
-0.01,-0.029,-0.02,0.02,0.005,-0.024,0.039,-0.068,-0.088,-0.088,0.039,-0.264
-0.005,-0.024,-0.02,0.015,0.005,-0.024,0.039,-0.068,-0.088,-0.088,0.039,-0.268
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.039,-0.068,-0.088,-0.088,0.039,-0.273
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.044,-0.063,-0.083,-0.083,0.044,-0.259
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.049,-0.059,-0.078,-0.078,0.049,-0.254
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.054,-0.054,-0.073,-0.073,0.054,-0.249
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.059,-0.049,-0.068,-0.068,0.059,-0.244
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.068,-0.059,-0.078,-0.073,0.044,-0.254
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.068,-0.059,-0.078,-0.078,0.039,-0.264
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.068,-0.059,-0.078,-0.083,0.034,-0.273
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.068,-0.059,-0.078,-0.088,0.029,-0.283
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.083,-0.054,-0.073,-0.083,0.044,-0.278
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.088,-0.049,-0.068,-0.078,0.049,-0.273
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.093,-0.044,-0.063,-0.073,0.054,-0.268
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.098,-0.039,-0.059,-0.068,0.059,-0.264
-0.02,-0.034,-0.015,0.029,-0.005,-0.024,0.107,-0.029,-0.059,-0.078,0.054,-0.268
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.107,-0.029,-0.059,-0.078,0.049,-0.273
-0.02,-0.044,-0.024,0.034,0.0,-0.034,0.107,-0.029,-0.059,-0.078,0.044,-0.278
-0.02,-0.049,-0.029,0.034,0.005,-0.039,0.107,-0.029,-0.059,-0.078,0.039,-0.283
-0.015,-0.034,-0.02,0.024,0.0,-0.029,0.107,-0.029,-0.068,-0.078,0.039,-0.293
-0.01,-0.029,-0.02,0.02,0.005,-0.024,0.107,-0.029,-0.068,-0.078,0.039,-0.293
-0.005,-0.024,-0.02,0.015,0.005,-0.024,0.107,-0.029,-0.068,-0.078,0.039,-0.293
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.107,-0.029,-0.068,-0.078,0.039,-0.293
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.122,-0.024,-0.063,-0.073,0.049,-0.283
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.127,-0.02,-0.059,-0.068,0.049,-0.283
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.132,-0.015,-0.054,-0.063,0.049,-0.283
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.137,-0.01,-0.049,-0.059,0.049,-0.283
-0.01,-0.024,-0.015,0.02,0.0,-0.02,0.146,-0.01,-0.049,-0.068,0.049,-0.283
-0.01,-0.029,-0.02,0.02,0.005,-0.024,0.146,-0.01,-0.049,-0.068,0.049,-0.283
-0.01,-0.034,-0.024,0.024,0.005,-0.029,0.146,-0.01,-0.049,-0.068,0.049,-0.283
-0.01,-0.039,-0.029,0.024,0.01,-0.034,0.146,-0.01,-0.049,-0.068,0.049,-0.283
-0.015,-0.024,-0.01,0.02,-0.005,-0.02,0.151,-0.01,-0.049,-0.059,0.044,-0.288
-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.156,-0.01,-0.049,-0.059,0.039,-0.293
-0.024,-0.015,0.01,0.02,-0.02,-0.005,0.161,-0.01,-0.049,-0.059,0.034,-0.298
-0.029,-0.01,0.02,0.02,-0.024,0.005,0.166,-0.01,-0.049,-0.059,0.029,-0.303
-0.01,-0.01,0.0,0.01,-0.005,-0.005,0.171,-0.005,-0.044,-0.049,0.039,-0.303
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.176,0.0,-0.039,-0.049,0.039,-0.303
0.01,-0.01,-0.02,0.0,0.015,-0.015,0.181,0.005,-0.034,-0.049,0.039,-0.303
0.02,-0.01,-0.029,-0.005,0.024,-0.02,0.185,0.01,-0.029,-0.049,0.039,-0.303
0.01,-0.02,-0.029,0.005,0.02,-0.024,0.195,0.01,-0.039,-0.049,0.049,-0.303
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.195,0.01,-0.039,-0.049,0.049,-0.303
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.195,0.01,-0.039,-0.049,0.049,-0.303
-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.195,0.01,-0.039,-0.049,0.049,-0.303
-0.024,-0.02,0.005,0.024,-0.015,-0.01,0.195,0.01,-0.039,-0.049,0.039,-0.312
-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.195,0.01,-0.039,-0.049,0.039,-0.312
-0.034,-0.02,0.015,0.029,-0.024,-0.005,0.195,0.01,-0.039,-0.049,0.039,-0.312
-0.039,-0.02,0.02,0.029,-0.029,0.0,0.195,0.01,-0.039,-0.049,0.039,-0.312
-0.024,-0.01,0.015,0.02,-0.02,0.0,0.181,-0.005,-0.044,-0.054,0.034,-0.322
-0.02,-0.01,0.01,0.015,-0.015,0.0,0.166,-0.01,-0.049,-0.059,0.029,-0.322
-0.015,-0.01,0.005,0.015,-0.01,-0.005,0.151,-0.015,-0.054,-0.063,0.024,-0.322
-0.01,-0.01,0.0,0.01,-0.005,-0.005,0.137,-0.02,-0.059,-0.068,0.02,-0.322
-0.02,-0.015,0.005,0.02,-0.015,-0.005,0.107,-0.034,-0.059,-0.059,0.024,-0.322
-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.088,-0.039,-0.059,-0.059,0.029,-0.322
-0.02,-0.024,-0.005,0.024,-0.01,-0.015,0.068,-0.044,-0.059,-0.059,0.034,-0.322
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.049,-0.049,-0.059,-0.059,0.039,-0.322
-0.01,-0.029,-0.02,0.02,0.005,-0.024,0.015,-0.063,-0.073,-0.063,0.034,-0.322
-0.01,-0.029,-0.02,0.02,0.005,-0.024,-0.01,-0.078,-0.078,-0.068,0.029,-0.322
-0.01,-0.029,-0.02,0.02,0.005,-0.024,-0.034,-0.093,-0.083,-0.073,0.024,-0.322
-0.01,-0.029,-0.02,0.02,0.005,-0.024,-0.059,-0.107,-0.088,-0.078,0.02,-0.322
-0.005,-0.024,-0.02,0.015,0.005,-0.024,-0.063,-0.098,-0.078,-0.068,0.02,-0.332
0.0,-0.02,-0.02,0.01,0.01,-0.02,-0.068,-0.098,-0.078,-0.068,0.02,-0.332
0.005,-0.015,-0.02,0.005,0.01,-0.02,-0.073,-0.098,-0.078,-0.068,0.02,-0.332
0.01,-0.01,-0.02,0.0,0.015,-0.015,-0.078,-0.098,-0.078,-0.068,0.02,-0.332
0.0,0.0,0.0,0.0,0.0,0.0,-0.063,-0.098,-0.078,-0.068,0.02,-0.332
0.0,0.0,0.0,0.0,0.0,0.0,-0.059,-0.098,-0.078,-0.068,0.02,-0.332
0.0,0.0,0.0,0.0,0.0,0.0,-0.054,-0.098,-0.078,-0.068,0.02,-0.332
0.0,0.0,0.0,0.0,0.0,0.0,-0.049,-0.098,-0.078,-0.068,0.02,-0.332
0.0,-0.015,-0.015,0.01,0.005,-0.015,-0.059,-0.088,-0.068,-0.059,0.02,-0.342
0.0,-0.02,-0.02,0.01,0.01,-0.02,-0.059,-0.088,-0.068,-0.059,0.02,-0.342
0.0,-0.024,-0.024,0.015,0.01,-0.024,-0.059,-0.088,-0.068,-0.059,0.02,-0.342
0.0,-0.029,-0.029,0.015,0.015,-0.029,-0.059,-0.088,-0.068,-0.059,0.02,-0.342
0.01,-0.029,-0.039,0.01,0.024,-0.034,-0.054,-0.088,-0.078,-0.068,0.02,-0.351
0.01,-0.029,-0.039,0.01,0.024,-0.034,-0.049,-0.088,-0.078,-0.068,0.02,-0.351
0.01,-0.029,-0.039,0.01,0.024,-0.034,-0.044,-0.088,-0.078,-0.068,0.02,-0.351
