I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.01,0.059,0.049,-0.034,-0.02,0.054,-0.005,-0.005,-0.054,-0.01,0.005,0.02
0.029,0.059,0.029,-0.044,0.0,0.044,-0.01,-0.005,-0.063,-0.02,0.0,0.02
0.024,0.054,0.029,-0.039,-0.005,0.039,-0.015,-0.01,-0.068,-0.015,-0.005,0.015
-0.005,0.039,0.044,-0.015,-0.024,0.039,-0.02,-0.02,-0.083,-0.029,-0.02,0.005
-0.01,0.034,0.044,-0.01,-0.029,0.039,-0.024,-0.034,-0.098,-0.044,-0.029,-0.005
0.015,0.054,0.039,-0.034,-0.015,0.044,-0.015,-0.029,-0.093,-0.039,-0.029,0.0
0.02,0.059,0.039,-0.039,-0.01,0.049,-0.015,-0.029,-0.093,-0.034,-0.029,0.0
0.02,0.068,0.049,-0.044,-0.015,0.059,-0.015,-0.034,-0.088,-0.034,-0.024,0.01
0.024,0.078,0.054,-0.049,-0.015,0.063,-0.015,-0.034,-0.083,-0.029,-0.024,0.01
0.02,0.073,0.054,-0.044,-0.02,0.063,-0.02,-0.024,-0.073,-0.02,-0.02,0.015
0.01,0.054,0.044,-0.029,-0.02,0.049,-0.02,-0.024,-0.073,-0.024,-0.015,0.015
0.015,0.063,0.049,-0.039,-0.02,0.054,-0.02,-0.024,-0.083,-0.024,-0.01,0.02
0.024,0.083,0.059,-0.054,-0.02,0.068,-0.02,-0.029,-0.088,-0.024,-0.005,0.02
0.034,0.068,0.034,-0.049,0.0,0.049,-0.029,-0.039,-0.098,-0.024,-0.015,0.015
0.024,0.059,0.034,-0.039,-0.005,0.044,-0.034,-0.039,-0.102,-0.034,-0.02,0.005
0.01,0.049,0.039,-0.029,-0.015,0.044,-0.034,-0.049,-0.102,-0.034,-0.024,-0.005
-0.01,0.034,0.044,-0.01,-0.029,0.039,-0.034,-0.049,-0.102,-0.034,-0.039,-0.01
-0.005,0.024,0.029,-0.01,-0.02,0.024,-0.02,-0.049,-0.088,-0.034,-0.039,-0.005
-0.005,0.039,0.044,-0.015,-0.024,0.039,-0.015,-0.039,-0.088,-0.029,-0.039,-0.005
-0.01,0.044,0.054,-0.015,-0.034,0.049,-0.01,-0.039,-0.083,-0.029,-0.039,-0.01
-0.029,0.015,0.044,0.01,-0.039,0.029,-0.01,-0.039,-0.083,-0.034,-0.039,-0.015
-0.029,0.005,0.034,0.015,-0.034,0.02,-0.02,-0.039,-0.093,-0.034,-0.039,-0.015
-0.034,0.0,0.034,0.02,-0.034,0.015,-0.02,-0.034,-0.093,-0.044,-0.044,-0.02
-0.039,-0.01,0.029,0.024,-0.034,0.01,-0.005,-0.034,-0.107,-0.044,-0.044,-0.024
-0.039,-0.024,0.015,0.034,-0.029,-0.005,-0.015,-0.039,-0.107,-0.044,-0.054,-0.024
-0.02,-0.01,0.01,0.015,-0.015,0.0,-0.01,-0.029,-0.098,-0.039,-0.044,-0.024
-0.015,-0.01,0.005,0.015,-0.01,-0.005,0.0,-0.029,-0.098,-0.039,-0.039,-0.02
-0.015,-0.015,0.0,0.015,-0.01,-0.01,0.005,-0.034,-0.098,-0.044,-0.039,-0.015
-0.01,-0.015,-0.005,0.015,-0.005,-0.01,0.0,-0.044,-0.107,-0.049,-0.039,-0.01
-0.044,-0.039,0.005,0.044,-0.024,-0.02,-0.005,-0.049,-0.117,-0.068,-0.054,-0.024
-0.044,-0.049,-0.005,0.049,-0.02,-0.029,-0.015,-0.054,-0.122,-0.068,-0.063,-0.039
-0.034,-0.034,0.0,0.034,-0.02,-0.02,-0.02,-0.059,-0.122,-0.073,-0.073,-0.044
-0.02,-0.02,0.0,0.02,-0.01,-0.01,-0.024,-0.059,-0.122,-0.073,-0.078,-0.049
-0.024,-0.029,-0.005,0.029,-0.01,-0.02,-0.029,-0.054,-0.122,-0.078,-0.078,-0.054
-0.044,-0.039,0.005,0.044,-0.024,-0.02,-0.029,-0.059,-0.122,-0.078,-0.078,-0.054
-0.049,-0.039,0.01,0.044,-0.029,-0.015,-0.029,-0.063,-0.127,-0.078,-0.078,-0.054
-0.054,-0.034,0.02,0.044,-0.039,-0.01,-0.029,-0.063,-0.132,-0.078,-0.078,-0.054
-0.039,-0.024,0.015,0.034,-0.029,-0.005,-0.02,-0.059,-0.127,-0.073,-0.068,-0.044
-0.049,-0.015,0.034,0.034,-0.044,0.01,-0.015,-0.054,-0.127,-0.068,-0.068,-0.044
-0.059,-0.029,0.029,0.044,-0.044,0.0,-0.01,-0.049,-0.122,-0.068,-0.068,-0.044
-0.059,-0.029,0.029,0.044,-0.044,0.0,-0.005,-0.044,-0.117,-0.063,-0.068,-0.044
-0.063,-0.039,0.024,0.054,-0.044,-0.01,0.0,-0.044,-0.112,-0.059,-0.068,-0.044
-0.068,-0.044,0.024,0.059,-0.049,-0.01,0.0,-0.044,-0.112,-0.059,-0.068,-0.039
-0.083,-0.054,0.029,0.068,-0.059,-0.015,0.0,-0.044,-0.117,-0.059,-0.068,-0.039
-0.088,-0.068,0.02,0.078,-0.054,-0.024,0.0,-0.044,-0.117,-0.063,-0.073,-0.044
-0.078,-0.059,0.02,0.068,-0.049,-0.02,0.0,-0.044,-0.127,-0.073,-0.083,-0.049
-0.078,-0.059,0.02,0.068,-0.049,-0.02,0.0,-0.044,-0.127,-0.068,-0.083,-0.054
-0.078,-0.059,0.02,0.068,-0.049,-0.02,0.0,-0.039,-0.122,-0.068,-0.078,-0.059
-0.063,-0.049,0.015,0.059,-0.039,-0.02,0.01,-0.039,-0.122,-0.068,-0.078,-0.068
-0.063,-0.049,0.015,0.059,-0.039,-0.02,0.0,-0.034,-0.112,-0.068,-0.068,-0.063
-0.068,-0.054,0.015,0.063,-0.044,-0.02,0.0,-0.034,-0.112,-0.068,-0.063,-0.059
-0.068,-0.054,0.015,0.063,-0.044,-0.02,0.0,-0.034,-0.112,-0.068,-0.063,-0.054
-0.073,-0.063,0.01,0.068,-0.044,-0.029,0.0,-0.039,-0.112,-0.078,-0.068,-0.049
-0.083,-0.073,0.01,0.078,-0.049,-0.034,0.0,-0.029,-0.102,-0.073,-0.063,-0.039
-0.063,-0.049,0.015,0.059,-0.039,-0.02,0.0,-0.024,-0.098,-0.059,-0.054,-0.029
-0.034,-0.039,-0.005,0.039,-0.015,-0.024,0.0,-0.024,-0.098,-0.054,-0.049,-0.024
-0.029,-0.034,-0.005,0.034,-0.015,-0.02,0.0,-0.024,-0.098,-0.049,-0.044,-0.02
-0.063,-0.044,0.02,0.054,-0.044,-0.015,0.0,-0.039,-0.127,-0.078,-0.078,-0.059
-0.083,-0.073,0.01,0.078,-0.049,-0.034,0.0,-0.049,-0.127,-0.093,-0.102,-0.068
-0.093,-0.059,0.034,0.078,-0.063,-0.015,0.02,-0.02,-0.102,-0.083,-0.093,-0.059
-0.063,-0.01,0.054,0.039,-0.059,0.02,0.039,-0.005,-0.088,-0.068,-0.102,-0.068
-0.049,0.0,0.049,0.024,-0.049,0.024,0.068,0.044,-0.063,-0.068,-0.112,-0.088
-0.068,-0.029,0.039,0.049,-0.054,0.005,0.107,0.088,-0.034,-0.054,-0.102,-0.078
-0.093,-0.024,0.068,0.059,-0.083,0.02,0.112,0.098,-0.015,-0.02,-0.088,-0.059
-0.093,0.02,0.112,0.039,-0.102,0.063,0.093,0.098,0.02,0.039,-0.044,-0.024
-0.083,0.02,0.102,0.034,-0.093,0.059,0.093,0.117,0.063,0.088,0.005,-0.005
-0.063,-0.005,0.059,0.034,-0.063,0.024,0.073,0.117,0.088,0.127,0.024,0.0
-0.024,0.0,0.024,0.015,-0.024,0.01,0.039,0.102,0.132,0.19,0.059,0.029
0.01,0.029,0.02,-0.02,-0.005,0.024,0.024,0.088,0.21,0.312,0.137,0.083
0.024,0.044,0.02,-0.034,0.0,0.029,0.005,0.098,0.303,0.425,0.215,0.112
0.054,0.059,0.005,-0.054,0.024,0.029,0.005,0.122,0.395,0.556,0.278,0.146
0.117,0.112,-0.005,-0.112,0.059,0.054,-0.02,0.132,0.503,0.727,0.39,0.239
0.215,0.195,-0.02,-0.205,0.117,0.088,-0.098,0.034,0.551,0.893,0.517,0.337
0.303,0.288,-0.015,-0.293,0.156,0.137,-0.259,-0.151,0.532,1.01,0.62,0.41
0.356,0.342,-0.015,-0.346,0.185,0.161,-0.41,-0.346,0.483,1.108,0.703,0.464
0.361,0.342,-0.02,-0.351,0.19,0.161,-0.493,-0.517,0.386,1.157,0.752,0.503
0.361,0.395,0.034,-0.376,0.161,0.215,-0.581,-0.683,0.268,1.161,0.776,0.522
0.376,0.508,0.132,-0.439,0.122,0.317,-0.683,-0.815,0.181,1.142,0.781,0.547
0.366,0.493,0.127,-0.429,0.117,0.307,-0.737,-0.878,0.127,1.093,0.756,0.542
0.332,0.332,0.0,-0.332,0.166,0.166,-0.708,-0.869,0.063,0.937,0.6,0.444
0.273,0.181,-0.093,-0.224,0.181,0.044,-0.673,-0.864,-0.054,0.664,0.366,0.278
0.19,0.024,-0.166,-0.107,0.176,-0.073,-0.659,-0.888,-0.229,0.381,0.132,0.127
0.083,-0.166,-0.249,0.044,0.166,-0.21,-0.664,-0.913,-0.415,0.083,-0.073,-0.005
0.01,-0.337,-0.346,0.166,0.176,-0.342,-0.63,-0.893,-0.6,-0.249,-0.278,-0.137
-0.034,-0.42,-0.386,0.229,0.176,-0.405,-0.561,-0.83,-0.766,-0.522,-0.41,-0.239
-0.029,-0.42,-0.39,0.224,0.181,-0.405,-0.498,-0.752,-0.82,-0.625,-0.429,-0.254
-0.034,-0.39,-0.356,0.215,0.161,-0.376,-0.429,-0.664,-0.766,-0.605,-0.429,-0.254
-0.063,-0.356,-0.293,0.21,0.112,-0.327,-0.376,-0.576,-0.673,-0.537,-0.425,-0.264
-0.073,-0.317,-0.244,0.195,0.083,-0.283,-0.303,-0.478,-0.571,-0.459,-0.381,-0.244
-0.093,-0.298,-0.205,0.195,0.054,-0.254,-0.254,-0.41,-0.498,-0.386,-0.332,-0.21
-0.102,-0.273,-0.171,0.19,0.034,-0.224,-0.239,-0.381,-0.454,-0.351,-0.327,-0.21
-0.063,-0.205,-0.142,0.137,0.039,-0.176,-0.215,-0.332,-0.41,-0.307,-0.283,-0.181
-0.063,-0.161,-0.098,0.112,0.015,-0.132,-0.151,-0.254,-0.342,-0.254,-0.224,-0.132
-0.083,-0.176,-0.093,0.132,0.005,-0.137,-0.093,-0.2,-0.307,-0.229,-0.215,-0.127
-0.044,-0.161,-0.117,0.102,0.034,-0.142,-0.063,-0.132,-0.254,-0.205,-0.205,-0.122
-0.034,-0.156,-0.122,0.098,0.044,-0.142,-0.01,-0.054,-0.181,-0.161,-0.176,-0.102
-0.083,-0.176,-0.093,0.132,0.005,-0.137,0.015,-0.01,-0.137,-0.137,-0.171,-0.098
-0.093,-0.185,-0.093,0.142,0.0,-0.142,0.02,-0.005,-0.122,-0.132,-0.185,-0.112
-0.054,-0.142,-0.088,0.098,0.015,-0.117,0.044,0.029,-0.102,-0.112,-0.166,-0.102
0.005,-0.073,-0.078,0.034,0.039,-0.078,0.083,0.059,-0.063,-0.068,-0.137,-0.059
0.005,-0.034,-0.039,0.015,0.02,-0.039,0.083,0.049,-0.083,-0.073,-0.132,-0.054
-0.034,-0.054,-0.02,0.044,-0.01,-0.039,0.054,0.024,-0.102,-0.083,-0.142,-0.063
-0.049,-0.044,0.005,0.049,-0.029,-0.02,0.054,0.024,-0.102,-0.073,-0.127,-0.068
-0.034,-0.015,0.02,0.024,-0.029,0.0,0.059,0.034,-0.093,-0.063,-0.112,-0.059
-0.039,-0.015,0.024,0.029,-0.034,0.005,0.068,0.044,-0.083,-0.063,-0.112,-0.059
-0.044,-0.029,0.015,0.039,-0.029,-0.01,0.078,0.054,-0.073,-0.059,-0.112,-0.059
-0.049,-0.054,-0.005,0.054,-0.024,-0.029,0.088,0.073,-0.049,-0.049,-0.122,-0.063
-0.054,-0.059,-0.005,0.059,-0.024,-0.034,0.093,0.073,-0.049,-0.049,-0.132,-0.068
-0.044,-0.059,-0.015,0.054,-0.015,-0.039,0.102,0.073,-0.049,-0.049,-0.132,-0.068
-0.029,-0.039,-0.01,0.034,-0.01,-0.024,0.107,0.073,-0.049,-0.049,-0.132,-0.063
-0.034,-0.029,0.005,0.034,-0.02,-0.015,0.098,0.063,-0.054,-0.049,-0.137,-0.073
-0.034,-0.029,0.005,0.034,-0.02,-0.015,0.083,0.049,-0.063,-0.049,-0.132,-0.073
-0.029,-0.024,0.005,0.029,-0.02,-0.01,0.068,0.049,-0.063,-0.049,-0.127,-0.073
-0.015,-0.015,0.0,0.015,-0.01,-0.01,0.078,0.054,-0.059,-0.039,-0.122,-0.059
-0.02,-0.02,0.0,0.02,-0.01,-0.01,0.078,0.059,-0.049,-0.039,-0.112,-0.054
-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.088,0.073,-0.044,-0.029,-0.112,-0.054
-0.049,-0.039,0.01,0.044,-0.029,-0.015,0.083,0.073,-0.044,-0.039,-0.127,-0.059
-0.054,-0.044,0.01,0.049,-0.034,-0.02,0.068,0.068,-0.049,-0.044,-0.132,-0.063
-0.044,-0.029,0.015,0.039,-0.029,-0.01,0.098,0.078,-0.044,-0.039,-0.127,-0.054
-0.039,-0.02,0.02,0.029,-0.029,0.0,0.088,0.078,-0.034,-0.034,-0.117,-0.049
-0.039,-0.01,0.029,0.024,-0.034,0.01,0.093,0.073,-0.029,-0.029,-0.098,-0.044
-0.034,-0.005,0.029,0.02,-0.034,0.01,0.088,0.063,-0.039,-0.024,-0.088,-0.039
-0.039,-0.024,0.015,0.034,-0.029,-0.005,0.088,0.059,-0.049,-0.024,-0.102,-0.049
-0.049,-0.034,0.015,0.044,-0.034,-0.01,0.088,0.068,-0.049,-0.024,-0.093,-0.039
-0.059,-0.049,0.01,0.054,-0.034,-0.02,0.093,0.073,-0.049,-0.02,-0.098,-0.039
-0.068,-0.068,0.0,0.068,-0.034,-0.034,0.093,0.068,-0.039,-0.02,-0.107,-0.039
-0.063,-0.083,-0.02,0.073,-0.024,-0.054,0.098,0.078,-0.034,-0.029,-0.122,-0.039
-0.059,-0.068,-0.01,0.063,-0.024,-0.039,0.102,0.078,-0.029,-0.029,-0.122,-0.044
-0.034,-0.049,-0.015,0.044,-0.01,-0.034,0.102,0.078,-0.029,-0.029,-0.122,-0.049
-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.102,0.068,-0.039,-0.029,-0.122,-0.063
-0.034,-0.029,0.005,0.034,-0.02,-0.015,0.093,0.059,-0.039,-0.029,-0.112,-0.059
-0.044,-0.024,0.02,0.034,-0.034,-0.005,0.093,0.059,-0.039,-0.029,-0.112,-0.054
-0.044,-0.015,0.029,0.029,-0.039,0.005,0.088,0.059,-0.039,-0.029,-0.107,-0.044
-0.054,-0.015,0.039,0.034,-0.049,0.01,0.088,0.068,-0.039,-0.024,-0.107,-0.039
-0.044,-0.039,0.005,0.044,-0.024,-0.02,0.078,0.068,-0.049,-0.024,-0.112,-0.054
-0.044,-0.039,0.005,0.044,-0.024,-0.02,0.078,0.068,-0.049,-0.024,-0.117,-0.063
-0.049,-0.039,0.01,0.044,-0.029,-0.015,0.083,0.073,-0.039,-0.024,-0.122,-0.068
-0.054,-0.039,0.015,0.049,-0.034,-0.015,0.093,0.073,-0.034,-0.024,-0.132,-0.068
-0.054,-0.039,0.015,0.049,-0.034,-0.015,0.093,0.073,-0.024,-0.024,-0.132,-0.059
-0.054,-0.039,0.015,0.049,-0.034,-0.015,0.078,0.068,-0.024,-0.024,-0.127,-0.063
-0.049,-0.039,0.01,0.044,-0.029,-0.015,0.078,0.068,-0.029,-0.024,-0.122,-0.063
-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.083,0.073,-0.029,-0.02,-0.117,-0.063
-0.015,-0.02,-0.005,0.02,-0.005,-0.015,0.093,0.088,-0.02,-0.01,-0.117,-0.059
-0.015,-0.02,-0.005,0.02,-0.005,-0.015,0.093,0.088,-0.02,-0.01,-0.112,-0.049
-0.015,-0.005,0.01,0.01,-0.015,0.0,0.098,0.098,-0.01,0.0,-0.102,-0.039
-0.015,-0.015,0.0,0.015,-0.01,-0.01,0.098,0.098,-0.005,0.0,-0.102,-0.034
-0.029,-0.024,0.005,0.029,-0.02,-0.01,0.088,0.102,-0.015,-0.005,-0.107,-0.049
-0.029,-0.034,-0.005,0.034,-0.015,-0.02,0.088,0.102,-0.015,-0.005,-0.107,-0.049
-0.024,-0.024,0.0,0.024,-0.015,-0.015,0.088,0.102,-0.005,-0.005,-0.107,-0.049
-0.02,-0.024,-0.005,0.024,-0.01,-0.015,0.088,0.102,-0.015,-0.005,-0.107,-0.049
-0.024,-0.039,-0.015,0.034,-0.005,-0.029,0.078,0.088,-0.024,-0.015,-0.102,-0.049
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.078,0.083,-0.024,-0.005,-0.102,-0.039
-0.02,-0.034,-0.015,0.029,-0.005,-0.024,0.078,0.083,-0.024,-0.005,-0.102,-0.039
-0.02,-0.039,-0.02,0.029,0.0,-0.029,0.078,0.083,-0.02,-0.005,-0.102,-0.039
-0.034,-0.034,0.0,0.034,-0.02,-0.02,0.078,0.098,-0.015,0.005,-0.088,-0.049
-0.034,-0.029,0.005,0.034,-0.02,-0.015,0.078,0.098,-0.01,0.005,-0.088,-0.044
-0.01,-0.02,-0.01,0.015,0.0,-0.015,0.078,0.107,-0.005,0.015,-0.083,-0.044
-0.01,-0.005,0.005,0.01,-0.01,0.0,0.078,0.112,0.0,0.015,-0.083,-0.044
-0.024,-0.015,0.01,0.02,-0.02,-0.005,0.088,0.122,0.01,0.0,-0.088,-0.044
-0.024,-0.015,0.01,0.02,-0.02,-0.005,0.088,0.122,0.01,0.0,-0.093,-0.049
-0.015,-0.015,0.0,0.015,-0.01,-0.01,0.088,0.117,0.01,0.005,-0.098,-0.054
-0.015,-0.005,0.01,0.01,-0.015,0.0,0.083,0.117,0.01,0.005,-0.102,-0.054
-0.029,-0.02,0.01,0.024,-0.02,-0.005,0.068,0.107,0.005,-0.005,-0.107,-0.063
-0.049,-0.029,0.02,0.039,-0.034,-0.005,0.068,0.102,0.005,-0.005,-0.107,-0.054
-0.054,-0.049,0.005,0.054,-0.029,-0.024,0.063,0.112,0.01,0.005,-0.102,-0.054
-0.054,-0.063,-0.01,0.059,-0.024,-0.039,0.059,0.117,0.005,0.005,-0.102,-0.054
-0.034,-0.054,-0.02,0.044,-0.01,-0.039,0.068,0.137,0.029,0.02,-0.098,-0.039
-0.029,-0.039,-0.01,0.034,-0.01,-0.024,0.078,0.142,0.034,0.029,-0.093,-0.039
-0.029,-0.054,-0.024,0.044,-0.005,-0.039,0.083,0.146,0.039,0.039,-0.088,-0.044
-0.029,-0.063,-0.034,0.049,0.0,-0.049,0.093,0.151,0.049,0.049,-0.078,-0.044
-0.02,-0.049,-0.029,0.034,0.005,-0.039,0.093,0.161,0.068,0.059,-0.078,-0.034
-0.005,-0.034,-0.029,0.02,0.01,-0.034,0.093,0.161,0.068,0.059,-0.078,-0.024
0.0,-0.01,-0.01,0.005,0.005,-0.01,0.088,0.161,0.068,0.059,-0.073,-0.034
0.0,-0.02,-0.02,0.01,0.01,-0.02,0.088,0.171,0.068,0.063,-0.073,-0.034
-0.015,-0.029,-0.015,0.024,0.0,-0.024,0.073,0.156,0.059,0.059,-0.078,-0.044
-0.02,-0.029,-0.01,0.024,-0.005,-0.02,0.068,0.151,0.054,0.059,-0.083,-0.044
-0.024,-0.029,-0.005,0.029,-0.01,-0.02,0.063,0.161,0.063,0.063,-0.078,-0.039
-0.029,-0.029,0.0,0.029,-0.015,-0.015,0.059,0.166,0.068,0.059,-0.083,-0.054
0.0,-0.024,-0.024,0.015,0.01,-0.024,0.063,0.176,0.073,0.059,-0.078,-0.039
0.005,-0.02,-0.024,0.01,0.015,-0.024,0.068,0.176,0.083,0.073,-0.073,-0.029
0.005,-0.02,-0.024,0.01,0.015,-0.024,0.073,0.176,0.093,0.073,-0.059,-0.024
0.01,-0.02,-0.029,0.005,0.02,-0.024,0.073,0.176,0.107,0.078,-0.054,-0.015
0.02,-0.015,-0.034,0.0,0.024,-0.024,0.083,0.195,0.112,0.088,-0.044,-0.015
0.029,-0.015,-0.044,-0.005,0.034,-0.029,0.083,0.205,0.117,0.102,-0.039,-0.005
0.029,0.0,-0.029,-0.015,0.029,-0.015,0.083,0.21,0.127,0.117,-0.034,-0.005
0.029,0.0,-0.029,-0.015,0.029,-0.015,0.083,0.215,0.142,0.132,-0.029,-0.005
0.02,-0.01,-0.029,-0.005,0.024,-0.02,0.073,0.215,0.132,0.132,-0.039,-0.01
0.01,-0.029,-0.039,0.01,0.024,-0.034,0.073,0.215,0.137,0.127,-0.044,-0.015
0.01,-0.029,-0.039,0.01,0.024,-0.034,0.068,0.21,0.146,0.127,-0.039,-0.015
0.024,-0.005,-0.029,-0.01,0.024,-0.02,0.068,0.215,0.161,0.132,-0.039,-0.01
0.034,0.02,-0.015,-0.024,0.024,0.0,0.078,0.224,0.171,0.146,-0.034,0.0
0.039,0.02,-0.02,-0.029,0.029,0.0,0.068,0.224,0.176,0.156,-0.029,0.0
0.049,0.024,-0.024,-0.034,0.034,0.0,0.063,0.234,0.176,0.161,-0.015,0.005
0.049,0.029,-0.02,-0.039,0.034,0.005,0.063,0.239,0.195,0.176,0.01,0.015
0.054,0.029,-0.024,-0.039,0.039,0.0,0.059,0.229,0.195,0.176,0.0,0.005
0.054,0.015,-0.039,-0.034,0.044,-0.015,0.044,0.229,0.195,0.19,0.0,0.005
0.054,0.01,-0.044,-0.029,0.049,-0.02,0.024,0.234,0.2,0.19,0.0,0.01
0.059,0.005,-0.054,-0.029,0.054,-0.024,0.029,0.244,0.21,0.205,0.01,0.02
0.063,0.024,-0.039,-0.044,0.049,-0.01,0.034,0.254,0.239,0.224,0.029,0.024
0.073,0.024,-0.049,-0.049,0.059,-0.015,0.034,0.254,0.244,0.229,0.029,0.034
0.059,0.024,-0.034,-0.039,0.044,-0.005,0.029,0.259,0.244,0.234,0.029,0.039
0.054,0.029,-0.024,-0.039,0.039,0.0,0.034,0.259,0.254,0.254,0.029,0.049
0.083,0.044,-0.039,-0.063,0.059,0.0,0.049,0.264,0.259,0.254,0.049,0.044
0.093,0.054,-0.039,-0.073,0.063,0.005,0.049,0.268,0.273,0.259,0.054,0.049
0.102,0.063,-0.039,-0.083,0.068,0.01,0.039,0.278,0.283,0.273,0.068,0.054
0.112,0.073,-0.039,-0.093,0.073,0.015,0.034,0.283,0.283,0.283,0.073,0.059
0.088,0.063,-0.024,-0.073,0.054,0.02,0.02,0.283,0.283,0.293,0.073,0.073
0.083,0.054,-0.029,-0.068,0.054,0.01,0.015,0.268,0.278,0.298,0.073,0.073
0.102,0.063,-0.039,-0.083,0.068,0.01,0.015,0.268,0.278,0.307,0.083,0.078
0.098,0.083,-0.015,-0.088,0.054,0.034,0.015,0.268,0.288,0.312,0.088,0.083
0.088,0.078,-0.01,-0.083,0.049,0.034,0.015,0.264,0.288,0.307,0.093,0.073
0.102,0.078,-0.024,-0.088,0.063,0.024,0.01,0.264,0.288,0.307,0.093,0.073
0.102,0.073,-0.029,-0.088,0.063,0.02,0.005,0.264,0.283,0.307,0.088,0.078
0.088,0.068,-0.02,-0.078,0.054,0.024,0.005,0.264,0.283,0.312,0.078,0.083
0.098,0.068,-0.029,-0.083,0.063,0.02,-0.01,0.254,0.283,0.303,0.088,0.083
0.102,0.068,-0.034,-0.083,0.068,0.015,-0.01,0.249,0.283,0.303,0.088,0.083
0.102,0.068,-0.034,-0.083,0.068,0.015,-0.01,0.249,0.283,0.307,0.088,0.083
0.107,0.063,-0.044,-0.083,0.073,0.01,-0.005,0.249,0.278,0.307,0.093,0.088
0.098,0.073,-0.024,-0.083,0.059,0.024,0.005,0.259,0.288,0.317,0.088,0.088
0.102,0.078,-0.024,-0.088,0.063,0.024,0.01,0.259,0.288,0.317,0.088,0.093
0.102,0.078,-0.024,-0.088,0.063,0.024,0.01,0.264,0.278,0.317,0.088,0.093
0.083,0.073,-0.01,-0.078,0.044,0.029,0.01,0.264,0.278,0.312,0.083,0.088
0.083,0.073,-0.01,-0.078,0.044,0.029,0.0,0.244,0.268,0.298,0.083,0.083
